Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 208, Row: 3, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67e15d35d4811782d3eae74c
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 301, Row: 2, Price: $35.00, Est. Price: $35.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/670ea14df0923f9bcda31dcb
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 140, Row: 16, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/676daf06b98988f2db7649a5
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 323, Row: 14, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67a680643e2207e70b22c7db
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 108, Row: 30, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/670ea150f0923f9bcda36c1e
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 132, Row: 5, Price: $65.00, Est. Price: $65.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/677b2765b98988f2db3940f4
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 330, Row: 2, Price: $33.00, Est. Price: $33.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67896e2a5f5eedb9b549dda4
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 300, Row: 32, Price: $34.00, Est. Price: $34.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/6764fc77b98988f2db97d1ec
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 332, Row: 32, Price: $34.00, Est. Price: $34.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/6764fc77b98988f2db97d20d
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 329, Row: 15, Price: $35.00, Est. Price: $35.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67e85fe5d4811782d3b46bc7
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 307, Row: 2, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67bc81ec2f94efc810cbf9af
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 329, Row: 2, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67c5245ddec8018c76966897
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 330, Row: 12, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67c52476dec8018c7699814e
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 304, Row: 11, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67e86060d4811782d3c59ea6
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 304, Row: 40, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/6764fc78b98988f2db97f50e
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 142, Row: 13, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/678683f15f5eedb9b59e2d2a
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 141, Row: 13, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/677b2388b98988f2dbe2ba56
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 311, Row: 11, Price: $42.00, Est. Price: $42.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/670ea142f0923f9bcda230f8
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 308, Row: 11, Price: $42.00, Est. Price: $42.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67a67fef3e2207e70b13bfb1
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 326, Row: 12, Price: $42.00, Est. Price: $42.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67a67fdd3e2207e70b11d714
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 307, Row: 40, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/6764fc75b98988f2db97a87c
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 314, Row: 15, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67a67fde3e2207e70b11eee4
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 139, Row: 26, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67a67fe33e2207e70b12dd8f
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 101, Row: 22, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67e15d32d4811782d3eaaa49
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 332, Row: 12, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67e3d6e3d4811782d3780f47
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 331, Row: 3, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67e3d6cbd4811782d3757828
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 300, Row: 9, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67e3d6e1d4811782d377da3e
