Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 128, Row: 25, Price: $75.00, Est. Price: $75.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/670ea0dcf0923f9bcd9a3c55
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 301, Row: 2, Price: $30.00, Est. Price: $30.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67896deb5f5eedb9b543bc24
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 140, Row: 16, Price: $35.00, Est. Price: $35.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/676daf06b98988f2db764a7a
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 312, Row: 10, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67896dec5f5eedb9b543c389
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 319, Row: 9, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/670ea0e0f0923f9bcd9a935f
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 110, Row: 11, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67d37514dec8018c76f0343c
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 302, Row: 2, Price: $28.00, Est. Price: $28.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/673d1092585e58e5aa5d8749
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 331, Row: 2, Price: $31.00, Est. Price: $31.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67896deb5f5eedb9b543bc37
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 330, Row: 2, Price: $32.00, Est. Price: $32.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67896deb5f5eedb9b543bc8d
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 303, Row: 2, Price: $32.00, Est. Price: $32.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67896deb5f5eedb9b543bc6e
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 300, Row: 32, Price: $33.00, Est. Price: $33.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/6764fc76b98988f2db97ba0f
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 332, Row: 32, Price: $34.00, Est. Price: $34.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/6764fc78b98988f2db97f442
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 311, Row: 11, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/670ea0e3f0923f9bcd9ac70d
