Date: 07-02-2025, Home Team: Dbacks, Away Team: Giants, Section: 208, Row: 3, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-2-2025-phoenix-az-chase-field/events/66a171b86a7963095dbe0ad2/listings/67e15d34d4811782d3eac623
Date: 07-02-2025, Home Team: Dbacks, Away Team: Giants, Section: 301, Row: 2, Price: $31.00, Est. Price: $31.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-2-2025-phoenix-az-chase-field/events/66a171b86a7963095dbe0ad2/listings/67896df55f5eedb9b544a27e
Date: 07-02-2025, Home Team: Dbacks, Away Team: Giants, Section: 140, Row: 16, Price: $35.00, Est. Price: $35.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-2-2025-phoenix-az-chase-field/events/66a171b86a7963095dbe0ad2/listings/676dafb7b98988f2db82ebf5
Date: 07-02-2025, Home Team: Dbacks, Away Team: Giants, Section: 312, Row: 10, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-2-2025-phoenix-az-chase-field/events/66a171b86a7963095dbe0ad2/listings/67896de85f5eedb9b5435da7
Date: 07-02-2025, Home Team: Dbacks, Away Team: Giants, Section: 108, Row: 30, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-2-2025-phoenix-az-chase-field/events/66a171b86a7963095dbe0ad2/listings/670ea0e0f0923f9bcd9a9362
Date: 07-02-2025, Home Team: Dbacks, Away Team: Giants, Section: 215, Row: 4, Price: $42.00, Est. Price: $42.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-2-2025-phoenix-az-chase-field/events/66a171b86a7963095dbe0ad2/listings/67e15d3cd4811782d3eb4aea
Date: 07-02-2025, Home Team: Dbacks, Away Team: Giants, Section: 331, Row: 2, Price: $28.00, Est. Price: $28.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-2-2025-phoenix-az-chase-field/events/66a171b86a7963095dbe0ad2/listings/673d10e0585e58e5aa62e388
Date: 07-02-2025, Home Team: Dbacks, Away Team: Giants, Section: 302, Row: 2, Price: $30.00, Est. Price: $30.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-2-2025-phoenix-az-chase-field/events/66a171b86a7963095dbe0ad2/listings/670ea0def0923f9bcd9a7652
Date: 07-02-2025, Home Team: Dbacks, Away Team: Giants, Section: 330, Row: 2, Price: $32.00, Est. Price: $32.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-2-2025-phoenix-az-chase-field/events/66a171b86a7963095dbe0ad2/listings/67896de95f5eedb9b5437068
Date: 07-02-2025, Home Team: Dbacks, Away Team: Giants, Section: 303, Row: 2, Price: $32.00, Est. Price: $32.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-2-2025-phoenix-az-chase-field/events/66a171b86a7963095dbe0ad2/listings/67896df55f5eedb9b544a27a
Date: 07-02-2025, Home Team: Dbacks, Away Team: Giants, Section: 311, Row: 11, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-2-2025-phoenix-az-chase-field/events/66a171b86a7963095dbe0ad2/listings/670ea0e2f0923f9bcd9ab724
