Date: 07-03-2025, Home Team: Dbacks, Away Team: Giants, Section: 129, Row: 24, Price: $86.00, Est. Price: $86.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-3-2025-phoenix-az-chase-field/events/66a171b9999f484d998f0049/listings/67896df55f5eedb9b5449519
Date: 07-03-2025, Home Team: Dbacks, Away Team: Giants, Section: 140, Row: 16, Price: $35.00, Est. Price: $35.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-3-2025-phoenix-az-chase-field/events/66a171b9999f484d998f0049/listings/676dafb7b98988f2db82ec4e
Date: 07-03-2025, Home Team: Dbacks, Away Team: Giants, Section: 312, Row: 10, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-3-2025-phoenix-az-chase-field/events/66a171b9999f484d998f0049/listings/67896dea5f5eedb9b543a16b
Date: 07-03-2025, Home Team: Dbacks, Away Team: Giants, Section: 102, Row: 19, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-3-2025-phoenix-az-chase-field/events/66a171b9999f484d998f0049/listings/670ea0e5f0923f9bcd9ae202
Date: 07-03-2025, Home Team: Dbacks, Away Team: Giants, Section: 110, Row: 11, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-3-2025-phoenix-az-chase-field/events/66a171b9999f484d998f0049/listings/67d37513dec8018c76eff1f2
Date: 07-03-2025, Home Team: Dbacks, Away Team: Giants, Section: 132, Row: 5, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-3-2025-phoenix-az-chase-field/events/66a171b9999f484d998f0049/listings/67098511f0923f9bcd524231
Date: 07-03-2025, Home Team: Dbacks, Away Team: Giants, Section: 330, Row: 2, Price: $31.00, Est. Price: $31.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-3-2025-phoenix-az-chase-field/events/66a171b9999f484d998f0049/listings/67896ded5f5eedb9b543cd4a
Date: 07-03-2025, Home Team: Dbacks, Away Team: Giants, Section: 303, Row: 2, Price: $32.00, Est. Price: $32.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-3-2025-phoenix-az-chase-field/events/66a171b9999f484d998f0049/listings/67896de75f5eedb9b5434c0c
Date: 07-03-2025, Home Team: Dbacks, Away Team: Giants, Section: 302, Row: 1, Price: $33.00, Est. Price: $33.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-3-2025-phoenix-az-chase-field/events/66a171b9999f484d998f0049/listings/670ea0e2f0923f9bcd9ab8c4
Date: 07-03-2025, Home Team: Dbacks, Away Team: Giants, Section: 301, Row: 2, Price: $34.00, Est. Price: $34.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-3-2025-phoenix-az-chase-field/events/66a171b9999f484d998f0049/listings/67896df75f5eedb9b544cab3
Date: 07-03-2025, Home Team: Dbacks, Away Team: Giants, Section: 331, Row: 2, Price: $34.00, Est. Price: $34.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-3-2025-phoenix-az-chase-field/events/66a171b9999f484d998f0049/listings/67896ded5f5eedb9b543cdad
