Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 143, Row: 31, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e83967d4811782d3d2ebd1
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 102, Row: 39, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e9d987d4811782d335d1e1
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 315, Row: 15, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428c2d4811782d3dd1404
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 134, Row: 39, Price: $84.00, Est. Price: $84.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/6764fc78b98988f2db97f4cf
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 220, Row: 2, Price: $106.00, Est. Price: $106.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428bfd4811782d3dcc460
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 221, Row: 3, Price: $106.00, Est. Price: $106.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428bad4811782d3dc5a55
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 307, Row: 2, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67bc81ec2f94efc810cbf96a
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 140, Row: 16, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/676db285b98988f2dbd92d50
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 332, Row: 12, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428cbd4811782d3ddfcc0
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 300, Row: 10, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e970bfd4811782d3e0463b
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 330, Row: 3, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428c8d4811782d3ddb577
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 302, Row: 10, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428cad4811782d3ddd59b
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 329, Row: 12, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428cbd4811782d3ddfde7
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 328, Row: 10, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428ccd4811782d3de2019
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 303, Row: 12, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428cad4811782d3ddd882
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 304, Row: 11, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428bdd4811782d3dca623
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 301, Row: 3, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428bcd4811782d3dc7fe2
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 331, Row: 3, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428cad4811782d3ddd86b
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 325, Row: 10, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67eada38d4811782d37ef955
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 323, Row: 13, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e99635d4811782d3155750
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 305, Row: 9, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428c7d4811782d3dd900b
