Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 143, Row: 31, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/6764fc78b98988f2db97f59e
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 332, Row: 32, Price: $34.00, Est. Price: $34.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/6764fc79b98988f2db98069a
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 102, Row: 39, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/6764fc79b98988f2db9805c9
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 134, Row: 39, Price: $74.00, Est. Price: $74.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/6764fc75b98988f2db97a85b
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 220, Row: 4, Price: $106.00, Est. Price: $106.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e42a9fd4811782d30d8a16
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 208, Row: 3, Price: $107.00, Est. Price: $107.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e15d38d4811782d3eb183b
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 300, Row: 32, Price: $33.00, Est. Price: $33.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/6764fc7ab98988f2db980d3a
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 304, Row: 40, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/6764fc7ab98988f2db980d34
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 329, Row: 40, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/6764fc78b98988f2db97f514
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 326, Row: 40, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/6764fc79b98988f2db980613
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 307, Row: 40, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/6764fc78b98988f2db97f5ed
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 307, Row: 2, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67bc81ec2f94efc810cbf724
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 140, Row: 39, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/6764fc75b98988f2db97a817
