Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 127, Row: 28, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67e15d3dd4811782d3eb7005
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 332, Row: 32, Price: $34.00, Est. Price: $34.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/6764fc75b98988f2db97a889
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 140, Row: 16, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/676db06cb98988f2db99be7b
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 314, Row: 16, Price: $42.00, Est. Price: $42.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67aab4cd3e2207e70bb52d6a
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 108, Row: 30, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/670ea14cf0923f9bcda2eeef
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 132, Row: 5, Price: $65.00, Est. Price: $65.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/677b3541b98988f2db893c8e
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 300, Row: 32, Price: $33.00, Est. Price: $33.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/6764fc77b98988f2db97d16d
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 303, Row: 2, Price: $34.00, Est. Price: $34.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/673d10da585e58e5aa627f67
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 329, Row: 15, Price: $35.00, Est. Price: $35.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67a682ab3e2207e70b55b45d
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 301, Row: 2, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67896e325f5eedb9b54ac85d
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 330, Row: 2, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67896e2a5f5eedb9b549dd9f
