Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 129, Row: 30, Price: $112.00, Est. Price: $112.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67e447fed4811782d39f4633
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 140, Row: 16, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/676db0e3b98988f2dba74ee9
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 325, Row: 18, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67a683613e2207e70b61fa78
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 101, Row: 22, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67e15d39d4811782d3eb1d17
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 110, Row: 11, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67d37516dec8018c76f071bf
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 220, Row: 2, Price: $84.00, Est. Price: $84.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67e447edd4811782d39cd18b
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 307, Row: 2, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67bc81ec2f94efc810cbf9b3
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 329, Row: 20, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67a683673e2207e70b62ae8a
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 330, Row: 2, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67896e575f5eedb9b54eaec6
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 141, Row: 12, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67b4e8272f94efc810d2824a
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 329, Row: 2, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67a683723e2207e70b63cd1d
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 300, Row: 9, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67e44800d4811782d39f9007
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 330, Row: 10, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67e447f5d4811782d39dff34
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 302, Row: 10, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67e44820d4811782d3a45374
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 328, Row: 10, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67e447dbd4811782d39a4658
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 303, Row: 12, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67e44824d4811782d3a4d4b8
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 304, Row: 11, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67e44811d4811782d3a23e10
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 332, Row: 12, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67e44807d4811782d3a08e60
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 301, Row: 5, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67e4480ad4811782d3a0ec17
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 331, Row: 3, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67e447f8d4811782d39e58a3
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 303, Row: 1, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/670ea16af0923f9bcda61c65
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 325, Row: 10, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67e447d8d4811782d399de0a
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 323, Row: 11, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67e44807d4811782d3a08e7a
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 305, Row: 9, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67e447e2d4811782d39b3d89
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 301, Row: 1, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67a683613e2207e70b61fa81
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 306, Row: 12, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67e447fad4811782d39e9bdc
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 327, Row: 10, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67e44822d4811782d3a4ab26
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 309, Row: 11, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67e447efd4811782d39d189b
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 307, Row: 9, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67e447d8d4811782d399de35
