Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 116, Row: 21, Price: $123.00, Est. Price: $123.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67b503b42f94efc810cca2f7
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 332, Row: 14, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e4480ed4811782d3a1a7c5
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 301, Row: 3, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e447dfd4811782d39ae845
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 141, Row: 13, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67b501fa2f94efc81099c472
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 319, Row: 12, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e44807d4811782d3a08ccd
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 208, Row: 3, Price: $94.00, Est. Price: $94.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e15d3ad4811782d3eb336f
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 307, Row: 2, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67bc81ec2f94efc810cbf7d5
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 329, Row: 24, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67a683f43e2207e70b727aea
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 300, Row: 10, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e447e4d4811782d39b950e
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 302, Row: 2, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67896e6b5f5eedb9b550ca51
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 302, Row: 10, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e44801d4811782d39f98fa
