Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 116, Row: 21, Price: $112.00, Est. Price: $112.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67b4eb602f94efc81029cec1
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 323, Row: 20, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67a683f03e2207e70b721dbb
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 301, Row: 2, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67896e515f5eedb9b54e05e6
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 140, Row: 21, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67c3f5c0dec8018c768134e9
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 110, Row: 11, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67d37516dec8018c76f07131
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 219, Row: 7, Price: $84.00, Est. Price: $84.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e44826d4811782d3a50ed1
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 141, Row: 13, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67b4e8272f94efc810d28291
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 303, Row: 20, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67a683f03e2207e70b721d9d
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 302, Row: 2, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/670ea16ef0923f9bcda6bfe6
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 300, Row: 10, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e447f5d4811782d39e037a
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 330, Row: 10, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e44829d4811782d3a587b1
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 329, Row: 18, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67a683e33e2207e70b70c223
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 302, Row: 10, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e44805d4811782d3a036c9
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 329, Row: 12, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e447fad4811782d39e8fd7
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 328, Row: 12, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e44824d4811782d3a4d9fb
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 303, Row: 12, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e447fcd4811782d39ee6ba
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 304, Row: 12, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e447f7d4811782d39e5598
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 332, Row: 12, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e447e2d4811782d39b4d43
