Date: 07-21-2025, Home Team: Dbacks, Away Team: Astros, Section: 130, Row: 16, Price: $90.00, Est. Price: $90.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-21-2025-phoenix-az-chase-field/events/66a171db573fc39854bf8ed9/listings/67e447e2d4811782d39b3fbd
Date: 07-21-2025, Home Team: Dbacks, Away Team: Astros, Section: 332, Row: 32, Price: $34.00, Est. Price: $34.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-21-2025-phoenix-az-chase-field/events/66a171db573fc39854bf8ed9/listings/6764fd2bb98988f2dbb694dc
Date: 07-21-2025, Home Team: Dbacks, Away Team: Astros, Section: 323, Row: 18, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-21-2025-phoenix-az-chase-field/events/66a171db573fc39854bf8ed9/listings/67a6857f3e2207e70b965111
Date: 07-21-2025, Home Team: Dbacks, Away Team: Astros, Section: 142, Row: 13, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-21-2025-phoenix-az-chase-field/events/66a171db573fc39854bf8ed9/listings/678683f15f5eedb9b59e2da4
Date: 07-21-2025, Home Team: Dbacks, Away Team: Astros, Section: 318, Row: 9, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-21-2025-phoenix-az-chase-field/events/66a171db573fc39854bf8ed9/listings/67a685923e2207e70b995ac8
Date: 07-21-2025, Home Team: Dbacks, Away Team: Astros, Section: 111, Row: 11, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-21-2025-phoenix-az-chase-field/events/66a171db573fc39854bf8ed9/listings/677b335cb98988f2db64d6f4
Date: 07-21-2025, Home Team: Dbacks, Away Team: Astros, Section: 300, Row: 32, Price: $33.00, Est. Price: $33.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-21-2025-phoenix-az-chase-field/events/66a171db573fc39854bf8ed9/listings/6764fd28b98988f2dbb5fa8a
Date: 07-21-2025, Home Team: Dbacks, Away Team: Astros, Section: 328, Row: 19, Price: $34.00, Est. Price: $34.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-21-2025-phoenix-az-chase-field/events/66a171db573fc39854bf8ed9/listings/67a6858c3e2207e70b9875bc
Date: 07-21-2025, Home Team: Dbacks, Away Team: Astros, Section: 329, Row: 18, Price: $35.00, Est. Price: $35.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-21-2025-phoenix-az-chase-field/events/66a171db573fc39854bf8ed9/listings/67a685853e2207e70b973830
Date: 07-21-2025, Home Team: Dbacks, Away Team: Astros, Section: 330, Row: 17, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-21-2025-phoenix-az-chase-field/events/66a171db573fc39854bf8ed9/listings/67ab82373e2207e70b04ee8b
Date: 07-21-2025, Home Team: Dbacks, Away Team: Astros, Section: 307, Row: 2, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-21-2025-phoenix-az-chase-field/events/66a171db573fc39854bf8ed9/listings/67bc81ec2f94efc810cbf869
Date: 07-21-2025, Home Team: Dbacks, Away Team: Astros, Section: 301, Row: 2, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-21-2025-phoenix-az-chase-field/events/66a171db573fc39854bf8ed9/listings/67896e3a5f5eedb9b54bbce0
Date: 07-21-2025, Home Team: Dbacks, Away Team: Astros, Section: 330, Row: 1, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-21-2025-phoenix-az-chase-field/events/66a171db573fc39854bf8ed9/listings/67896e345f5eedb9b54b1be6
Date: 07-21-2025, Home Team: Dbacks, Away Team: Astros, Section: 303, Row: 2, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-21-2025-phoenix-az-chase-field/events/66a171db573fc39854bf8ed9/listings/67896e285f5eedb9b549a9f5
Date: 07-21-2025, Home Team: Dbacks, Away Team: Astros, Section: 304, Row: 40, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-21-2025-phoenix-az-chase-field/events/66a171db573fc39854bf8ed9/listings/6764fd29b98988f2dbb62246
Date: 07-21-2025, Home Team: Dbacks, Away Team: Astros, Section: 329, Row: 40, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-21-2025-phoenix-az-chase-field/events/66a171db573fc39854bf8ed9/listings/6764fd2ab98988f2dbb647d6
