Date: 07-22-2025, Home Team: Dbacks, Away Team: Astros, Section: 128, Row: 25, Price: $83.00, Est. Price: $83.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-22-2025-phoenix-az-chase-field/events/66a171dc6a7963095dbe0ad8/listings/670ea147f0923f9bcda2aeac
Date: 07-22-2025, Home Team: Dbacks, Away Team: Astros, Section: 332, Row: 32, Price: $34.00, Est. Price: $34.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-22-2025-phoenix-az-chase-field/events/66a171dc6a7963095dbe0ad8/listings/6764fd2cb98988f2dbb6b57a
Date: 07-22-2025, Home Team: Dbacks, Away Team: Astros, Section: 308, Row: 18, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-22-2025-phoenix-az-chase-field/events/66a171dc6a7963095dbe0ad8/listings/67a686073e2207e70ba0a9a9
Date: 07-22-2025, Home Team: Dbacks, Away Team: Astros, Section: 142, Row: 13, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-22-2025-phoenix-az-chase-field/events/66a171dc6a7963095dbe0ad8/listings/678683f15f5eedb9b59e2d9b
Date: 07-22-2025, Home Team: Dbacks, Away Team: Astros, Section: 101, Row: 22, Price: $42.00, Est. Price: $42.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-22-2025-phoenix-az-chase-field/events/66a171dc6a7963095dbe0ad8/listings/67e15d3dd4811782d3eb6dd8
Date: 07-22-2025, Home Team: Dbacks, Away Team: Astros, Section: 110, Row: 11, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-22-2025-phoenix-az-chase-field/events/66a171dc6a7963095dbe0ad8/listings/67d37516dec8018c76f07159
Date: 07-22-2025, Home Team: Dbacks, Away Team: Astros, Section: 300, Row: 32, Price: $33.00, Est. Price: $33.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-22-2025-phoenix-az-chase-field/events/66a171dc6a7963095dbe0ad8/listings/6764fd2bb98988f2dbb69542
Date: 07-22-2025, Home Team: Dbacks, Away Team: Astros, Section: 328, Row: 21, Price: $34.00, Est. Price: $34.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-22-2025-phoenix-az-chase-field/events/66a171dc6a7963095dbe0ad8/listings/67a6860a3e2207e70ba0eb7a
Date: 07-22-2025, Home Team: Dbacks, Away Team: Astros, Section: 330, Row: 2, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-22-2025-phoenix-az-chase-field/events/66a171dc6a7963095dbe0ad8/listings/67896e3b5f5eedb9b54bd7eb
Date: 07-22-2025, Home Team: Dbacks, Away Team: Astros, Section: 307, Row: 2, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-22-2025-phoenix-az-chase-field/events/66a171dc6a7963095dbe0ad8/listings/67bc81ec2f94efc810cbf9d2
Date: 07-22-2025, Home Team: Dbacks, Away Team: Astros, Section: 330, Row: 17, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-22-2025-phoenix-az-chase-field/events/66a171dc6a7963095dbe0ad8/listings/67a686063e2207e70ba0907e
Date: 07-22-2025, Home Team: Dbacks, Away Team: Astros, Section: 302, Row: 1, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-22-2025-phoenix-az-chase-field/events/66a171dc6a7963095dbe0ad8/listings/670ea14df0923f9bcda33262
