Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 128, Row: 25, Price: $83.00, Est. Price: $83.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-23-2025-phoenix-az-chase-field/events/66a171de83aa788255244b12/listings/670ea141f0923f9bcda21c09
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 300, Row: 32, Price: $34.00, Est. Price: $34.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-23-2025-phoenix-az-chase-field/events/66a171de83aa788255244b12/listings/6764fd2bb98988f2dbb66fb9
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 140, Row: 13, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-23-2025-phoenix-az-chase-field/events/66a171de83aa788255244b12/listings/67e15d37d4811782d3eb01e1
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 325, Row: 16, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-23-2025-phoenix-az-chase-field/events/66a171de83aa788255244b12/listings/67a685fc3e2207e70b9ff0b2
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 108, Row: 30, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-23-2025-phoenix-az-chase-field/events/66a171de83aa788255244b12/listings/670ea146f0923f9bcda29ee8
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 132, Row: 5, Price: $65.00, Est. Price: $65.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-23-2025-phoenix-az-chase-field/events/66a171de83aa788255244b12/listings/677b3541b98988f2db893c46
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 142, Row: 13, Price: $26.00, Est. Price: $26.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-23-2025-phoenix-az-chase-field/events/66a171de83aa788255244b12/listings/678683f15f5eedb9b59e2cf4
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 332, Row: 32, Price: $34.00, Est. Price: $34.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-23-2025-phoenix-az-chase-field/events/66a171de83aa788255244b12/listings/6764fd28b98988f2dbb5fab4
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 328, Row: 19, Price: $34.00, Est. Price: $34.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-23-2025-phoenix-az-chase-field/events/66a171de83aa788255244b12/listings/67a686053e2207e70ba07cd2
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 329, Row: 18, Price: $35.00, Est. Price: $35.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-23-2025-phoenix-az-chase-field/events/66a171de83aa788255244b12/listings/67a685f83e2207e70b9f93fc
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 303, Row: 2, Price: $35.00, Est. Price: $35.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-23-2025-phoenix-az-chase-field/events/66a171de83aa788255244b12/listings/67896e325f5eedb9b54ac80d
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 329, Row: 2, Price: $35.00, Est. Price: $35.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-23-2025-phoenix-az-chase-field/events/66a171de83aa788255244b12/listings/67a686083e2207e70ba0c5c0
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 307, Row: 2, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-23-2025-phoenix-az-chase-field/events/66a171de83aa788255244b12/listings/67bc81ec2f94efc810cbf822
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 301, Row: 2, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-23-2025-phoenix-az-chase-field/events/66a171de83aa788255244b12/listings/670ea142f0923f9bcda230ea
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 330, Row: 2, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-23-2025-phoenix-az-chase-field/events/66a171de83aa788255244b12/listings/67896e355f5eedb9b54b36ad
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 331, Row: 2, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-23-2025-phoenix-az-chase-field/events/66a171de83aa788255244b12/listings/67896e2d5f5eedb9b54a2bd7
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 302, Row: 1, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-23-2025-phoenix-az-chase-field/events/66a171de83aa788255244b12/listings/670ea141f0923f9bcda21bf3
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 304, Row: 40, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-23-2025-phoenix-az-chase-field/events/66a171de83aa788255244b12/listings/6764fd2bb98988f2dbb66f04
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 141, Row: 13, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-23-2025-phoenix-az-chase-field/events/66a171de83aa788255244b12/listings/677b30bdb98988f2db33bafd
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 323, Row: 17, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-23-2025-phoenix-az-chase-field/events/66a171de83aa788255244b12/listings/67a686033e2207e70ba05ec9
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 311, Row: 11, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/astros-at-diamondbacks-tickets/7-23-2025-phoenix-az-chase-field/events/66a171de83aa788255244b12/listings/670ea142f0923f9bcda23145
