Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 128, Row: 25, Price: $83.00, Est. Price: $83.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/670ea140f0923f9bcda2085e
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 328, Row: 13, Price: $35.00, Est. Price: $35.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67a686953e2207e70bab4f79
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 323, Row: 14, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67a686a83e2207e70bacb1ef
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 140, Row: 13, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67e15d37d4811782d3eb01b9
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 110, Row: 11, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67d37516dec8018c76f0938d
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 132, Row: 5, Price: $65.00, Est. Price: $65.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/677b3541b98988f2db893c04
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 303, Row: 14, Price: $33.00, Est. Price: $33.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67a686a53e2207e70bac732e
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 304, Row: 14, Price: $35.00, Est. Price: $35.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67a686a03e2207e70babfe7a
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 329, Row: 2, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67a6869e3e2207e70babcfc7
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 301, Row: 2, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/670ea142f0923f9bcda2310a
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 331, Row: 2, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67896e355f5eedb9b54b35d8
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 302, Row: 13, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67a6869d3e2207e70babbaa8
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 329, Row: 10, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67a686a13e2207e70bac0f5f
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 309, Row: 14, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67a686aa3e2207e70bacd902
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 330, Row: 1, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67896e335f5eedb9b54aeae3
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 302, Row: 1, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/670ea146f0923f9bcda287c4
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 141, Row: 13, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/677b30bdb98988f2db33ba17
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 313, Row: 16, Price: $42.00, Est. Price: $42.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67a6869b3e2207e70babad62
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 311, Row: 11, Price: $42.00, Est. Price: $42.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/670ea148f0923f9bcda2ba67
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 304, Row: 40, Price: $42.00, Est. Price: $42.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/6764fd28b98988f2dbb5fa3c
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 140, Row: 39, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/6764fd2bb98988f2dbb6942d
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 323, Row: 36, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/6764fd2db98988f2dbb6d69c
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 307, Row: 2, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67bc81ec2f94efc810cbf97e
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 102, Row: 19, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/670ea150f0923f9bcda36cce
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 101, Row: 22, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67e15d35d4811782d3eae5b4
