Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 128, Row: 25, Price: $74.00, Est. Price: $74.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-19-2025-phoenix-az-chase-field/events/66a172096a7963095dbe0ae1/listings/670ea104f0923f9bcd9c8b56
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 302, Row: 2, Price: $30.00, Est. Price: $30.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-19-2025-phoenix-az-chase-field/events/66a172096a7963095dbe0ae1/listings/67896e3a5f5eedb9b54bbc83
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 312, Row: 10, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-19-2025-phoenix-az-chase-field/events/66a172096a7963095dbe0ae1/listings/67896e355f5eedb9b54b3692
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 141, Row: 13, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-19-2025-phoenix-az-chase-field/events/66a172096a7963095dbe0ae1/listings/670980cdf0923f9bcdd311a2
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 319, Row: 9, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-19-2025-phoenix-az-chase-field/events/66a172096a7963095dbe0ae1/listings/670ea106f0923f9bcd9cb560
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 132, Row: 5, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-19-2025-phoenix-az-chase-field/events/66a172096a7963095dbe0ae1/listings/67098511f0923f9bcd524227
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 301, Row: 2, Price: $29.00, Est. Price: $29.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-19-2025-phoenix-az-chase-field/events/66a172096a7963095dbe0ae1/listings/67896e295f5eedb9b549bb4f
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 331, Row: 2, Price: $31.00, Est. Price: $31.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-19-2025-phoenix-az-chase-field/events/66a172096a7963095dbe0ae1/listings/67896e385f5eedb9b54b77c1
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 330, Row: 2, Price: $31.00, Est. Price: $31.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-19-2025-phoenix-az-chase-field/events/66a172096a7963095dbe0ae1/listings/67896e2d5f5eedb9b54a2b15
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 303, Row: 2, Price: $32.00, Est. Price: $32.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-19-2025-phoenix-az-chase-field/events/66a172096a7963095dbe0ae1/listings/67896e265f5eedb9b5497670
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 300, Row: 32, Price: $33.00, Est. Price: $33.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-19-2025-phoenix-az-chase-field/events/66a172096a7963095dbe0ae1/listings/6764fda3b98988f2dbce4c62
