Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 128, Row: 25, Price: $74.00, Est. Price: $74.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/670ea104f0923f9bcd9c96ec
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 301, Row: 2, Price: $30.00, Est. Price: $30.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67896e345f5eedb9b54afc13
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 312, Row: 10, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67896e3d5f5eedb9b54c1001
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 141, Row: 13, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/670980cdf0923f9bcdd311da
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 320, Row: 9, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67896e325f5eedb9b54ac7c2
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 110, Row: 11, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67d37516dec8018c76f0937f
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 142, Row: 13, Price: $26.00, Est. Price: $26.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/678683f15f5eedb9b59e2cdf
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 302, Row: 2, Price: $29.00, Est. Price: $29.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/673d1253585e58e5aa812021
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 331, Row: 2, Price: $30.00, Est. Price: $30.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67896e345f5eedb9b54afc55
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 330, Row: 2, Price: $32.00, Est. Price: $32.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67896e2f5f5eedb9b54a71f4
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 303, Row: 2, Price: $32.00, Est. Price: $32.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67896e3c5f5eedb9b54bfd5f
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 300, Row: 32, Price: $33.00, Est. Price: $33.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/6764fda6b98988f2dbceb379
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 332, Row: 32, Price: $33.00, Est. Price: $33.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/6764fda5b98988f2dbcea1a4
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 311, Row: 11, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/670ea10ef0923f9bcd9d31ea
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 321, Row: 9, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/670ea100f0923f9bcd9c48da
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 316, Row: 9, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67896e255f5eedb9b5495ac2
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 140, Row: 13, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67e15d34d4811782d3eacb36
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 319, Row: 9, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/670ea10cf0923f9bcd9d19e4
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 304, Row: 40, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/6764fda5b98988f2dbcea153
