Date: 08-22-2025, Home Team: Dbacks, Away Team: Reds, Section: 116, Row: 21, Price: $87.00, Est. Price: $87.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-22-2025-phoenix-az-chase-field/events/66a1720c7fbfc47b7cd24d07/listings/677b3572b98988f2db8bc628
Date: 08-22-2025, Home Team: Dbacks, Away Team: Reds, Section: 332, Row: 32, Price: $34.00, Est. Price: $34.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-22-2025-phoenix-az-chase-field/events/66a1720c7fbfc47b7cd24d07/listings/6764fda4b98988f2dbce662b
Date: 08-22-2025, Home Team: Dbacks, Away Team: Reds, Section: 140, Row: 13, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-22-2025-phoenix-az-chase-field/events/66a1720c7fbfc47b7cd24d07/listings/67e15d35d4811782d3eae4ca
Date: 08-22-2025, Home Team: Dbacks, Away Team: Reds, Section: 308, Row: 13, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-22-2025-phoenix-az-chase-field/events/66a1720c7fbfc47b7cd24d07/listings/67a689e13e2207e70bfdf4d1
Date: 08-22-2025, Home Team: Dbacks, Away Team: Reds, Section: 108, Row: 30, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-22-2025-phoenix-az-chase-field/events/66a1720c7fbfc47b7cd24d07/listings/670ea228f0923f9bcdb75adf
Date: 08-22-2025, Home Team: Dbacks, Away Team: Reds, Section: 132, Row: 5, Price: $65.00, Est. Price: $65.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-22-2025-phoenix-az-chase-field/events/66a1720c7fbfc47b7cd24d07/listings/677b3541b98988f2db893c88
Date: 08-22-2025, Home Team: Dbacks, Away Team: Reds, Section: 300, Row: 32, Price: $33.00, Est. Price: $33.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-22-2025-phoenix-az-chase-field/events/66a1720c7fbfc47b7cd24d07/listings/6764fda4b98988f2dbce87b5
Date: 08-22-2025, Home Team: Dbacks, Away Team: Reds, Section: 330, Row: 2, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-22-2025-phoenix-az-chase-field/events/66a1720c7fbfc47b7cd24d07/listings/67896e555f5eedb9b54e6bd2
Date: 08-22-2025, Home Team: Dbacks, Away Team: Reds, Section: 302, Row: 2, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-22-2025-phoenix-az-chase-field/events/66a1720c7fbfc47b7cd24d07/listings/67896e465f5eedb9b54cd80e
Date: 08-22-2025, Home Team: Dbacks, Away Team: Reds, Section: 302, Row: 13, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-22-2025-phoenix-az-chase-field/events/66a1720c7fbfc47b7cd24d07/listings/67a689db3e2207e70bfda562
Date: 08-22-2025, Home Team: Dbacks, Away Team: Reds, Section: 329, Row: 13, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-22-2025-phoenix-az-chase-field/events/66a1720c7fbfc47b7cd24d07/listings/67a689e13e2207e70bfdf4bd
Date: 08-22-2025, Home Team: Dbacks, Away Team: Reds, Section: 301, Row: 2, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-22-2025-phoenix-az-chase-field/events/66a1720c7fbfc47b7cd24d07/listings/67896e465f5eedb9b54cd8ee
Date: 08-22-2025, Home Team: Dbacks, Away Team: Reds, Section: 328, Row: 12, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-22-2025-phoenix-az-chase-field/events/66a1720c7fbfc47b7cd24d07/listings/67a689d93e2207e70bfd7f07
Date: 08-22-2025, Home Team: Dbacks, Away Team: Reds, Section: 304, Row: 12, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-22-2025-phoenix-az-chase-field/events/66a1720c7fbfc47b7cd24d07/listings/67a689de3e2207e70bfdd0b9
Date: 08-22-2025, Home Team: Dbacks, Away Team: Reds, Section: 303, Row: 1, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-22-2025-phoenix-az-chase-field/events/66a1720c7fbfc47b7cd24d07/listings/670ea1f8f0923f9bcdb0ec52
Date: 08-22-2025, Home Team: Dbacks, Away Team: Reds, Section: 304, Row: 40, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-22-2025-phoenix-az-chase-field/events/66a1720c7fbfc47b7cd24d07/listings/6764fda4b98988f2dbce8736
