Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 116, Row: 23, Price: $96.00, Est. Price: $96.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-23-2025-phoenix-az-chase-field/events/66a1720e63a64247fe1dd20d/listings/672d0c76585e58e5aaf6f960
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 332, Row: 32, Price: $34.00, Est. Price: $34.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-23-2025-phoenix-az-chase-field/events/66a1720e63a64247fe1dd20d/listings/6764fda1b98988f2dbce197e
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 143, Row: 31, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-23-2025-phoenix-az-chase-field/events/66a1720e63a64247fe1dd20d/listings/6764fda4b98988f2dbce8812
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 102, Row: 39, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-23-2025-phoenix-az-chase-field/events/66a1720e63a64247fe1dd20d/listings/6764fda3b98988f2dbce4c4b
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 134, Row: 39, Price: $74.00, Est. Price: $74.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-23-2025-phoenix-az-chase-field/events/66a1720e63a64247fe1dd20d/listings/6764fda3b98988f2dbce4c79
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 220, Row: 4, Price: $96.00, Est. Price: $96.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-23-2025-phoenix-az-chase-field/events/66a1720e63a64247fe1dd20d/listings/67e54cd3d4811782d39f1409
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 300, Row: 32, Price: $33.00, Est. Price: $33.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-23-2025-phoenix-az-chase-field/events/66a1720e63a64247fe1dd20d/listings/6764fda5b98988f2dbcea1c4
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 304, Row: 40, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-23-2025-phoenix-az-chase-field/events/66a1720e63a64247fe1dd20d/listings/6764fda1b98988f2dbce18cf
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 329, Row: 40, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-23-2025-phoenix-az-chase-field/events/66a1720e63a64247fe1dd20d/listings/6764fda6b98988f2dbceb323
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 326, Row: 40, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-23-2025-phoenix-az-chase-field/events/66a1720e63a64247fe1dd20d/listings/6764fda4b98988f2dbce6622
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 307, Row: 40, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-23-2025-phoenix-az-chase-field/events/66a1720e63a64247fe1dd20d/listings/6764fda4b98988f2dbce65fc
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 101, Row: 22, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-23-2025-phoenix-az-chase-field/events/66a1720e63a64247fe1dd20d/listings/67e15d3dd4811782d3eb6976
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 303, Row: 17, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-23-2025-phoenix-az-chase-field/events/66a1720e63a64247fe1dd20d/listings/67a68ad43e2207e70b10692f
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 332, Row: 12, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-23-2025-phoenix-az-chase-field/events/66a1720e63a64247fe1dd20d/listings/67e54cefd4811782d3a1716c
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 300, Row: 10, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-23-2025-phoenix-az-chase-field/events/66a1720e63a64247fe1dd20d/listings/67e54cbdd4811782d39db03c
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 330, Row: 10, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-23-2025-phoenix-az-chase-field/events/66a1720e63a64247fe1dd20d/listings/67e54ce1d4811782d3a03ffb
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 302, Row: 10, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-23-2025-phoenix-az-chase-field/events/66a1720e63a64247fe1dd20d/listings/67e54cb7d4811782d39d609b
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 329, Row: 18, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-23-2025-phoenix-az-chase-field/events/66a1720e63a64247fe1dd20d/listings/67e54cc5d4811782d39e2226
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 328, Row: 16, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-23-2025-phoenix-az-chase-field/events/66a1720e63a64247fe1dd20d/listings/67e54cc9d4811782d39e62da
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 304, Row: 9, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-23-2025-phoenix-az-chase-field/events/66a1720e63a64247fe1dd20d/listings/67e54cafd4811782d39cc023
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 301, Row: 5, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-23-2025-phoenix-az-chase-field/events/66a1720e63a64247fe1dd20d/listings/67e54cabd4811782d39c58d2
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 331, Row: 6, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-23-2025-phoenix-az-chase-field/events/66a1720e63a64247fe1dd20d/listings/67e54ccbd4811782d39e8ff2
