Date: 08-24-2025, Home Team: Dbacks, Away Team: Reds, Section: 116, Row: 21, Price: $87.00, Est. Price: $87.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-24-2025-phoenix-az-chase-field/events/66a17210999f484d998f0058/listings/677b3572b98988f2db8bc5f1
Date: 08-24-2025, Home Team: Dbacks, Away Team: Reds, Section: 332, Row: 32, Price: $34.00, Est. Price: $34.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-24-2025-phoenix-az-chase-field/events/66a17210999f484d998f0058/listings/6764fda6b98988f2dbceb352
Date: 08-24-2025, Home Team: Dbacks, Away Team: Reds, Section: 140, Row: 13, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-24-2025-phoenix-az-chase-field/events/66a17210999f484d998f0058/listings/67e15d35d4811782d3eae740
Date: 08-24-2025, Home Team: Dbacks, Away Team: Reds, Section: 308, Row: 13, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-24-2025-phoenix-az-chase-field/events/66a17210999f484d998f0058/listings/67a68ac93e2207e70b0f6e99
Date: 08-24-2025, Home Team: Dbacks, Away Team: Reds, Section: 102, Row: 19, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-24-2025-phoenix-az-chase-field/events/66a17210999f484d998f0058/listings/670ea16cf0923f9bcda6580b
Date: 08-24-2025, Home Team: Dbacks, Away Team: Reds, Section: 132, Row: 5, Price: $65.00, Est. Price: $65.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-24-2025-phoenix-az-chase-field/events/66a17210999f484d998f0058/listings/677b3541b98988f2db893c0e
Date: 08-24-2025, Home Team: Dbacks, Away Team: Reds, Section: 300, Row: 32, Price: $33.00, Est. Price: $33.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-24-2025-phoenix-az-chase-field/events/66a17210999f484d998f0058/listings/6764fda3b98988f2dbce4c65
Date: 08-24-2025, Home Team: Dbacks, Away Team: Reds, Section: 303, Row: 14, Price: $34.00, Est. Price: $34.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-24-2025-phoenix-az-chase-field/events/66a17210999f484d998f0058/listings/67a68ac83e2207e70b0f5202
Date: 08-24-2025, Home Team: Dbacks, Away Team: Reds, Section: 328, Row: 14, Price: $35.00, Est. Price: $35.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-24-2025-phoenix-az-chase-field/events/66a17210999f484d998f0058/listings/67a68abe3e2207e70b0e472b
Date: 08-24-2025, Home Team: Dbacks, Away Team: Reds, Section: 303, Row: 2, Price: $35.00, Est. Price: $35.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-24-2025-phoenix-az-chase-field/events/66a17210999f484d998f0058/listings/67896e425f5eedb9b54c8e2c
Date: 08-24-2025, Home Team: Dbacks, Away Team: Reds, Section: 330, Row: 2, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/reds-at-diamondbacks-tickets/8-24-2025-phoenix-az-chase-field/events/66a17210999f484d998f0058/listings/67896e405f5eedb9b54c5e28
