Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 302, Row: 1, Price: $11, Est. Price: $19.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9068622288
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 301, Row: 2, Price: $13, Est. Price: $23.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8936277036
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 331, Row: 2, Price: $14, Est. Price: $25.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8936276967
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 303, Row: 2, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8936277337
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 330, Row: 2, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9100867852
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 331, Row: 1, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8936434735
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 303, Row: 1, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8936433027
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 301, Row: 1, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8936434621
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 330, Row: 1, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8936434706
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 138, Row: 25, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8510877248
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 108, Row: 24, Price: $17, Est. Price: $30.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8607723606
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 141, Row: 13, Price: $17, Est. Price: $30.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9003629307
