Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 317, Row: 13, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9089972692
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 303, Row: 14, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9070599645
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 330, Row: 2, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9098366976
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 328, Row: 14, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9107532063
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 303, Row: 13, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9098367019
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 303, Row: 2, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=8936802461
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 304, Row: 13, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9098367045
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 304, Row: 12, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9035815351
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 302, Row: 11, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9047728683
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 302, Row: 12, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=8937235614
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 301, Row: 11, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9047728661
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 301, Row: 1, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9047726054
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 304, Row: 10, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9047728699
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 307, Row: 14, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=8937043116
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 331, Row: 2, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=8936885291
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 301, Row: 10, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9047728646
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 329, Row: 10, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9047725149
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 302, Row: 1, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9047724709
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 305, Row: 1, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=8829678419
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 307, Row: 2, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=8827482073
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 330, Row: 1, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9047725906
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 331, Row: 1, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9047501974
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 329, Row: 7, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9047725700
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 308, Row: 1, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=8848646114
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 312, Row: 16, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9079878335
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 300, Row: 1, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9114227934
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 304, Row: 9, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9113172369
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 300, Row: 11, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9023579131
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 332, Row: 14, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9023581819
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 332, Row: 18, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9114171020
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 141, Row: 16, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9031169719
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 323, Row: 11, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=8992177042
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 306, Row: 8, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=8930493589
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 327, Row: 9, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=8829648553
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 311, Row: 16, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9108733218
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 309, Row: 13, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9047728892
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 316, Row: 16, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9047725655
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 309, Row: 10, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9023579327
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 309, Row: 11, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9113176847
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 323, Row: 10, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9023579757
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 324, Row: 9, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9023579787
