Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 330, Row: 21, Price: $17, Est. Price: $30.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9100489145
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 329, Row: 40, Price: $17, Est. Price: $30.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9074265027
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 303, Row: 2, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9047956163
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 329, Row: 2, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9100489271
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 330, Row: 2, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9100489095
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 301, Row: 1, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9066012482
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 302, Row: 1, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9047956151
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 301, Row: 2, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9047956158
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 138, Row: 26, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=8836984453
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 331, Row: 2, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9047956182
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 328, Row: 12, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9047956193
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 302, Row: 10, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9047956184
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 330, Row: 1, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9070726987
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 331, Row: 1, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9047956167
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 306, Row: 13, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9068765251
