Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 302, Row: 3, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=8829713607
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 328, Row: 9, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=8846659484
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 331, Row: 2, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9095940499
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 304, Row: 40, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9074271237
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 300, Row: 32, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9074271234
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 329, Row: 40, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9074271244
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 332, Row: 32, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9074271245
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 301, Row: 2, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9025724607
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 301, Row: 3, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9055137981
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 301, Row: 4, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9055228373
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 330, Row: 3, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9025727021
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 303, Row: 9, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9032022860
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 301, Row: 12, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9113852894
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 301, Row: 17, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9113754485
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 300, Row: 15, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9113754427
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 300, Row: 16, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9113804965
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 332, Row: 11, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9104811142
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 332, Row: 16, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9105827355
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 332, Row: 18, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9105290109
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 332, Row: 19, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9106019598
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 144, Row: 17, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=8954350121
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 307, Row: 40, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9074271239
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 309, Row: 12, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=8955041580
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 144, Row: 16, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=8954329221
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 323, Row: 36, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9074271247
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 325, Row: 40, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=8894622004
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 327, Row: 40, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=8894862498
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 323, Row: 9, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9100653272
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 323, Row: 10, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9025726780
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 323, Row: 11, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9105514403
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 323, Row: 12, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9104936139
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 308, Row: 17, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9099101451
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 308, Row: 18, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9097755022
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 323, Row: 17, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9105134236
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 306, Row: 9, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9113940436
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 324, Row: 9, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9079683269
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 306, Row: 11, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9103493050
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 307, Row: 14, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9102129013
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 324, Row: 10, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9025726826
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 306, Row: 12, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9097808600
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 307, Row: 17, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9103610950
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 324, Row: 11, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9105197220
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 324, Row: 12, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9105024805
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 306, Row: 17, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9105950870
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 324, Row: 17, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9103965071
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 325, Row: 12, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9104745557
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 325, Row: 13, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9105239605
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 326, Row: 8, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9106868973
