Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 331, Row: 2, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9101212379
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 300, Row: 1, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=8848987347
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 301, Row: 2, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9070397131
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 302, Row: 2, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9070396727
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 328, Row: 9, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=8829681239
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 304, Row: 20, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9070397342
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 329, Row: 9, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9032036179
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 303, Row: 19, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9070397306
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 330, Row: 19, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=8937235962
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 307, Row: 2, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9089337700
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 304, Row: 12, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9110783286
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 303, Row: 18, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9070397268
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 330, Row: 10, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9110941728
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 332, Row: 16, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9110777339
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 326, Row: 19, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=8937234052
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 309, Row: 11, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9050165970
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 323, Row: 12, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9101212386
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 324, Row: 10, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=8850703569
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 325, Row: 9, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=8829680530
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 327, Row: 10, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=8880581796
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 301, Row: 1, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9070397259
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 314, Row: 25, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=8937234010
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 304, Row: 9, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9087719796
