Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 101, Row: 22, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9034268146
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 301, Row: 2, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=8936888256
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 323, Row: 19, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9101935998
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 302, Row: 16, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=8937234398
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 105, Row: 18, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9034268310
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 323, Row: 17, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9101944414
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 329, Row: 14, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=8937168498
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 303, Row: 2, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=8936805431
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 102, Row: 39, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9074340850
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 140, Row: 39, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9074340870
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 301, Row: 1, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=8936807680
