Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 330, Row: 16, Price: $17, Est. Price: $30.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9059896899
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 301, Row: 2, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8936329847
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 330, Row: 2, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9002060444
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 138, Row: 26, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8836990318
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 331, Row: 15, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9002061045
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 302, Row: 2, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8936281345
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 301, Row: 1, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8936803668
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 141, Row: 13, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8832149898
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 307, Row: 17, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8957834141
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 141, Row: 12, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8533615879
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 330, Row: 1, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9059905671
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 101, Row: 22, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9034268144
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 324, Row: 13, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8936477135
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 311, Row: 11, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9093561314
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 306, Row: 12, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8957895958
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 312, Row: 10, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8937079175
