Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 303, Row: 2, Price: $14, Est. Price: $25.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=9044647756
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 330, Row: 2, Price: $14, Est. Price: $25.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=9048017869
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 101, Row: 22, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=9034268161
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 302, Row: 1, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8936275159
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 302, Row: 2, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8936280241
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 301, Row: 2, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8936280225
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 331, Row: 2, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8936280248
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 303, Row: 1, Price: $17, Est. Price: $30.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8936429784
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 330, Row: 1, Price: $17, Est. Price: $30.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8936442625
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 331, Row: 1, Price: $17, Est. Price: $30.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8936442644
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 312, Row: 10, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8936329644
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 105, Row: 18, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=9034268367
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 138, Row: 25, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8510877509
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 320, Row: 9, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8936279890
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 321, Row: 9, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8936275121
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 141, Row: 12, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8058150854
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 141, Row: 13, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8058151928
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 307, Row: 2, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8827481258
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 300, Row: 32, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8655253828
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 332, Row: 32, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8655253844
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 308, Row: 1, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8910649501
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 140, Row: 13, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=9034271067
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 319, Row: 9, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8937486163
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 313, Row: 8, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8936807479
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 102, Row: 18, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8936807447
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 315, Row: 9, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8936807508
