Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 141, Row: 13, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=9078468778
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 302, Row: 2, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8936886480
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 325, Row: 23, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8937233693
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 329, Row: 23, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8937233713
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 331, Row: 2, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8936886628
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 326, Row: 22, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8937168205
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 307, Row: 2, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8827481353
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 330, Row: 2, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8936803628
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 138, Row: 25, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8510877525
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 138, Row: 26, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8836999536
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 329, Row: 21, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8937202904
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 313, Row: 1, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8725129530
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 140, Row: 13, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=9034271068
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 301, Row: 1, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8936805397
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 321, Row: 22, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8937233659
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 330, Row: 1, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8936805442
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 323, Row: 34, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=9105815227
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 324, Row: 39, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=9106301969
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 101, Row: 22, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=9034268168
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 104, Row: 14, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8896690568
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 315, Row: 9, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8936888378
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 308, Row: 19, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8937085315
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 304, Row: 8, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8894484495
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 328, Row: 9, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8829633205
