Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 328, Row: 17, Price: $17, Est. Price: $30.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=9043208923
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 302, Row: 2, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8936329893
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 301, Row: 2, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8936329875
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 329, Row: 15, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=9043208965
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 300, Row: 32, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8655256269
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 332, Row: 32, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8655256280
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 303, Row: 14, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8936331191
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 138, Row: 26, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8837004016
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 141, Row: 13, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8533615982
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 301, Row: 1, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8936802931
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 323, Row: 15, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8936527564
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 330, Row: 2, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8936800620
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 303, Row: 13, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8936527553
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 330, Row: 11, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8936527582
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 140, Row: 13, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=9034271749
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 141, Row: 12, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8533615896
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 303, Row: 1, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=9043208867
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 330, Row: 1, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=9043208915
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 308, Row: 14, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8936477497
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 325, Row: 14, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8936477568
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 311, Row: 11, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8936882489
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 304, Row: 40, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8655256270
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 312, Row: 10, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8937079272
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 104, Row: 14, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8533620425
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 103, Row: 14, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8533620392
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 141, Row: 11, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8533618059
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 144, Row: 11, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8800053745
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 321, Row: 9, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8937076995
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 308, Row: 1, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8910872139
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 307, Row: 2, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8827480994
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 101, Row: 22, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=9034268163
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 320, Row: 9, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=9076563312
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 108, Row: 30, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8936621780
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 139, Row: 26, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8937168527
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 318, Row: 1, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=9091717306
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 318, Row: 15, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8937084936
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 111, Row: 11, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8533642630
