Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 330, Row: 2, Price: $17, Est. Price: $30.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=9071138982
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 301, Row: 2, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=9031537515
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 329, Row: 15, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=9071113377
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 323, Row: 14, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8937202629
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 141, Row: 16, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=9031169749
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 307, Row: 2, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8827481340
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 300, Row: 32, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8655256310
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 332, Row: 32, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8655256324
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 329, Row: 13, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=9031537680
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 138, Row: 26, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8837004598
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 141, Row: 13, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8533615983
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 330, Row: 1, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=9031537529
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 304, Row: 11, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=9071141462
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 329, Row: 2, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=9071139400
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 140, Row: 13, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=9034271094
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 141, Row: 12, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8533615945
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 301, Row: 1, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=9031537570
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 311, Row: 11, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8936882622
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 308, Row: 11, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8940698667
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 326, Row: 12, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8940698678
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 103, Row: 14, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8533620393
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 104, Row: 14, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=9038572760
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 141, Row: 11, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8533618035
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 144, Row: 11, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8533620469
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 314, Row: 15, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=9060874572
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 308, Row: 1, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8910890619
