Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 303, Row: 2, Price: $17, Est. Price: $30.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8936439800
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 329, Row: 15, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8936477930
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 301, Row: 2, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8936277513
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 300, Row: 32, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8655257423
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 332, Row: 32, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8655257752
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 141, Row: 13, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8533762762
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 329, Row: 2, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8936805888
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 330, Row: 2, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8936805934
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 304, Row: 14, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8936527592
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 329, Row: 13, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8936527601
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 330, Row: 13, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8936527606
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 141, Row: 12, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8533762250
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 140, Row: 13, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=9034271137
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 301, Row: 1, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8936803625
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 323, Row: 16, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8936477752
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 325, Row: 16, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8936477857
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 104, Row: 14, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8897213338
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 310, Row: 9, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=9041955895
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 314, Row: 16, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8940699865
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 309, Row: 15, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8940698770
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 312, Row: 10, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8937081165
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 316, Row: 13, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=9041957296
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 103, Row: 14, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8533764931
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 141, Row: 11, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8533763901
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 144, Row: 11, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8533765187
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 307, Row: 2, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8827481760
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 137, Row: 27, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=9049242830
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 320, Row: 15, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8937087083
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 108, Row: 26, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8754951759
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 101, Row: 22, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=9034268179
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 314, Row: 15, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8937169025
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 318, Row: 12, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=9041957320
