Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 138, Row: 26, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8837011536
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 141, Row: 13, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8793309668
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 325, Row: 4, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=9041957224
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 141, Row: 12, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8793309222
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 303, Row: 20, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8937235455
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 307, Row: 3, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=9041956013
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 301, Row: 2, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8936887355
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 323, Row: 20, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8941092113
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 325, Row: 3, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=9041957163
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 140, Row: 21, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8869969940
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 104, Row: 14, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8911264129
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 316, Row: 13, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=9041957297
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 302, Row: 2, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8936801573
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 329, Row: 18, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8937203609
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 313, Row: 1, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8766782600
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 311, Row: 11, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8936801456
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 140, Row: 13, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=9034271148
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 303, Row: 2, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8936804870
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 318, Row: 12, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=9041957325
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 330, Row: 1, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8936804915
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 330, Row: 2, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8936804960
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 303, Row: 16, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8937203587
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 307, Row: 1, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=9041955955
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 321, Row: 20, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8937130462
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 308, Row: 17, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8937130414
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 321, Row: 9, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8936885301
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 304, Row: 8, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8836184636
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 328, Row: 9, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8829741279
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 331, Row: 3, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8829741491
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 322, Row: 3, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=9041957114
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 103, Row: 14, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8793313978
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 141, Row: 11, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8793308447
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 144, Row: 11, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8793314328
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 101, Row: 22, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=9034268182
