Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 328, Row: 19, Price: $17, Est. Price: $30.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8936478287
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 303, Row: 2, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8936329952
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 329, Row: 18, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8936478328
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 329, Row: 2, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8936330492
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 307, Row: 2, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8827481833
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 141, Row: 13, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8533762970
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 302, Row: 1, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8936800264
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 301, Row: 2, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8941578789
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 330, Row: 2, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8936278125
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 331, Row: 2, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8936801690
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 300, Row: 32, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8655258936
