Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 302, Row: 2, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8936276951
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 301, Row: 2, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8936276942
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 330, Row: 2, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8936329342
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 331, Row: 2, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8936329420
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 303, Row: 2, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8936276486
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 330, Row: 1, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8936276500
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 331, Row: 1, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8936276515
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 303, Row: 1, Price: $17, Est. Price: $30.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8936429146
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 302, Row: 1, Price: $17, Est. Price: $30.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8936428957
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 310, Row: 9, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=9041955931
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 311, Row: 11, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8936327800
