Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 300, Row: 32, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8655260136
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 332, Row: 32, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8655260164
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 304, Row: 40, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8655260137
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 329, Row: 40, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8655260165
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 307, Row: 40, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8655260139
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 326, Row: 40, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8655260162
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 138, Row: 26, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8837014910
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 300, Row: 1, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8944009603
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 102, Row: 39, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8655260076
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 143, Row: 31, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8655260126
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 101, Row: 22, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=9034268199
