Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 101, Row: 3, Price: $218.00, Est. Price: $218.00, URL: https://gametime.co/concert/j-balvin-tickets/5-1-2025-phoenix-az-phx-arena/events/673b6cc03b0b2234edecdf58/listings/67d03aeedec8018c7623b654?queryId=1d990c79bd1c924e2329103e86036c62&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 218, Row: 12, Price: $86.00, Est. Price: $86.00, URL: https://gametime.co/concert/j-balvin-tickets/5-1-2025-phoenix-az-phx-arena/events/673b6cc03b0b2234edecdf58/listings/673e0a2a585e58e5aaa7f362?queryId=1d990c79bd1c924e2329103e86036c62&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 111, Row: 28, Price: $89.00, Est. Price: $89.00, URL: https://gametime.co/concert/j-balvin-tickets/5-1-2025-phoenix-az-phx-arena/events/673b6cc03b0b2234edecdf58/listings/67e72e5dd4811782d3081723?queryId=1d990c79bd1c924e2329103e86036c62&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 105, Row: 27, Price: $94.00, Est. Price: $94.00, URL: https://gametime.co/concert/j-balvin-tickets/5-1-2025-phoenix-az-phx-arena/events/673b6cc03b0b2234edecdf58/listings/67e72e5ad4811782d307d893?queryId=1d990c79bd1c924e2329103e86036c62&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 108, Row: 21, Price: $107.00, Est. Price: $107.00, URL: https://gametime.co/concert/j-balvin-tickets/5-1-2025-phoenix-az-phx-arena/events/673b6cc03b0b2234edecdf58/listings/67eb8c1dd4811782d3ce6b6c?queryId=1d990c79bd1c924e2329103e86036c62&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 106, Row: 6, Price: $122.00, Est. Price: $122.00, URL: https://gametime.co/concert/j-balvin-tickets/5-1-2025-phoenix-az-phx-arena/events/673b6cc03b0b2234edecdf58/listings/67f30def0b271341d1edbd5b?queryId=1d990c79bd1c924e2329103e86036c62&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 219, Row: 12, Price: $81.00, Est. Price: $81.00, URL: https://gametime.co/concert/j-balvin-tickets/5-1-2025-phoenix-az-phx-arena/events/673b6cc03b0b2234edecdf58/listings/673e3580585e58e5aa7b6741?queryId=1d990c79bd1c924e2329103e86036c62&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 212, Row: 12, Price: $88.00, Est. Price: $88.00, URL: https://gametime.co/concert/j-balvin-tickets/5-1-2025-phoenix-az-phx-arena/events/673b6cc03b0b2234edecdf58/listings/675c7a0cb98988f2db751f79?queryId=1d990c79bd1c924e2329103e86036c62&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 210, Row: 12, Price: $89.00, Est. Price: $89.00, URL: https://gametime.co/concert/j-balvin-tickets/5-1-2025-phoenix-az-phx-arena/events/673b6cc03b0b2234edecdf58/listings/674744f4585e58e5aa1fd573?queryId=1d990c79bd1c924e2329103e86036c62&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 208, Row: 8, Price: $89.00, Est. Price: $89.00, URL: https://gametime.co/concert/j-balvin-tickets/5-1-2025-phoenix-az-phx-arena/events/673b6cc03b0b2234edecdf58/listings/674744fa585e58e5aa206e9f?queryId=1d990c79bd1c924e2329103e86036c62&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 206, Row: 14, Price: $89.00, Est. Price: $89.00, URL: https://gametime.co/concert/j-balvin-tickets/5-1-2025-phoenix-az-phx-arena/events/673b6cc03b0b2234edecdf58/listings/67a396f0f6af5e52e4cbab01?queryId=1d990c79bd1c924e2329103e86036c62&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
