Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 103, Row: 13, Price: $148.00, Est. Price: $148.00, URL: https://gametime.co/concert/disturbed-with-daughtry-tickets/5-15-2025-phoenix-az-phx-arena/events/67080f64438ba5e9a8cf8655/listings/67e3051f23de49fae60541d3?queryId=0a82cf2ad908aee6b1770597be733a33&resultPosition=1&searchIndex=performers&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 221, Row: 14, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/concert/disturbed-with-daughtry-tickets/5-15-2025-phoenix-az-phx-arena/events/67080f64438ba5e9a8cf8655/listings/6775ae5eb98988f2dbabec1f?queryId=0a82cf2ad908aee6b1770597be733a33&resultPosition=1&searchIndex=performers&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 205, Row: 12, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/concert/disturbed-with-daughtry-tickets/5-15-2025-phoenix-az-phx-arena/events/67080f64438ba5e9a8cf8655/listings/6764a7afb98988f2db835c75?queryId=0a82cf2ad908aee6b1770597be733a33&resultPosition=1&searchIndex=performers&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 112, Row: 24, Price: $118.00, Est. Price: $118.00, URL: https://gametime.co/concert/disturbed-with-daughtry-tickets/5-15-2025-phoenix-az-phx-arena/events/67080f64438ba5e9a8cf8655/listings/6797ebc426a9cb75c5695d18?queryId=0a82cf2ad908aee6b1770597be733a33&resultPosition=1&searchIndex=performers&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 104, Row: 28, Price: $118.00, Est. Price: $118.00, URL: https://gametime.co/concert/disturbed-with-daughtry-tickets/5-15-2025-phoenix-az-phx-arena/events/67080f64438ba5e9a8cf8655/listings/6797ee9226a9cb75c5b2cab1?queryId=0a82cf2ad908aee6b1770597be733a33&resultPosition=1&searchIndex=performers&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 113, Row: 27, Price: $118.00, Est. Price: $118.00, URL: https://gametime.co/concert/disturbed-with-daughtry-tickets/5-15-2025-phoenix-az-phx-arena/events/67080f64438ba5e9a8cf8655/listings/67c74992dec8018c768b750c?queryId=0a82cf2ad908aee6b1770597be733a33&resultPosition=1&searchIndex=performers&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 206, Row: 14, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/concert/disturbed-with-daughtry-tickets/5-15-2025-phoenix-az-phx-arena/events/67080f64438ba5e9a8cf8655/listings/67f226220b271341d19643eb?queryId=0a82cf2ad908aee6b1770597be733a33&resultPosition=1&searchIndex=performers&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 216, Row: 11, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/concert/disturbed-with-daughtry-tickets/5-15-2025-phoenix-az-phx-arena/events/67080f64438ba5e9a8cf8655/listings/67e8f42fd4811782d360bf98?queryId=0a82cf2ad908aee6b1770597be733a33&resultPosition=1&searchIndex=performers&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 207, Row: 6, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/concert/disturbed-with-daughtry-tickets/5-15-2025-phoenix-az-phx-arena/events/67080f64438ba5e9a8cf8655/listings/67f0d5280b271341d1738a11?queryId=0a82cf2ad908aee6b1770597be733a33&resultPosition=1&searchIndex=performers&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 219, Row: 14, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/concert/disturbed-with-daughtry-tickets/5-15-2025-phoenix-az-phx-arena/events/67080f64438ba5e9a8cf8655/listings/67f2262b0b271341d19711fd?queryId=0a82cf2ad908aee6b1770597be733a33&resultPosition=1&searchIndex=performers&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 218, Row: 11, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/concert/disturbed-with-daughtry-tickets/5-15-2025-phoenix-az-phx-arena/events/67080f64438ba5e9a8cf8655/listings/6764a7b4b98988f2db840486?queryId=0a82cf2ad908aee6b1770597be733a33&resultPosition=1&searchIndex=performers&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
