Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 116, Row: 21, Price: $165.00, Est. Price: $165.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67be18472f94efc8101ce027?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 221, Row: 11, Price: $81.00, Est. Price: $81.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67be1b302f94efc810680768?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 202, Row: 14, Price: $87.00, Est. Price: $87.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67bf59e52f94efc8107a688f?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 232, Row: 8, Price: $118.00, Est. Price: $118.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67e6d6fdd4811782d3c72d2c?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 111, Row: 18, Price: $199.00, Est. Price: $199.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67be232a2f94efc810357617?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 102, Row: 25, Price: $199.00, Est. Price: $199.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67bf6c042f94efc81085639c?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 214, Row: 12, Price: $77.00, Est. Price: $77.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67c0e3b3dec8018c765ffd12?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 208, Row: 12, Price: $79.00, Est. Price: $79.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67c1de63dec8018c76a33630?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 231, Row: 4, Price: $80.00, Est. Price: $80.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67db0523dec8018c760d00ce?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 207, Row: 12, Price: $81.00, Est. Price: $81.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67c5104bdec8018c7673abd1?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 223, Row: 13, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67c8fdaddec8018c763b64a2?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
