Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 216, Row: 14, Price: $57, Est. Price: $91.2, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9064041750
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 218, Row: 12, Price: $58, Est. Price: $92.80000000000001, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=8288589673
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 212, Row: 8, Price: $60, Est. Price: $96, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=8857128987
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 219, Row: 12, Price: $60, Est. Price: $96, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9032344849
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 111, Row: 28, Price: $61, Est. Price: $88.45, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9122396656
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 111, Row: 27, Price: $63, Est. Price: $91.35, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9108707102
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 210, Row: 12, Price: $64, Est. Price: $92.8, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=8335445925
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 207, Row: 3, Price: $65, Est. Price: $94.25, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9083741471
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 208, Row: 8, Price: $65, Est. Price: $94.25, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=8335445923
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 105, Row: 27, Price: $65, Est. Price: $94.25, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9124175488
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 214, Row: 8, Price: $67, Est. Price: $97.14999999999999, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=8335445934
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 110, Row: 26, Price: $67, Est. Price: $97.14999999999999, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9105287015
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 110, Row: 22, Price: $68, Est. Price: $98.6, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9057069365
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 206, Row: 14, Price: $68, Est. Price: $98.6, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9074402470
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 215, Row: 14, Price: $68, Est. Price: $98.6, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9074402569
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 211, Row: 12, Price: $69, Est. Price: $100.05, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=8335445910
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 111, Row: 25, Price: $69, Est. Price: $100.05, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9086982657
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 215, Row: 3, Price: $70, Est. Price: $101.5, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=8335445902
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 109, Row: 28, Price: $70, Est. Price: $101.5, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9105287068
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 213, Row: 14, Price: $71, Est. Price: $102.95, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9074402565
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 209, Row: 14, Price: $71, Est. Price: $102.95, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9074402494
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 106, Row: 25, Price: $71, Est. Price: $102.95, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9105287026
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 109, Row: 22, Price: $73, Est. Price: $105.85, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9105287059
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 108, Row: 21, Price: $75, Est. Price: $108.75, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9105287075
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 107, Row: 21, Price: $77, Est. Price: $111.64999999999999, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9107212833
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 109, Row: 19, Price: $81, Est. Price: $117.45, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9103495640
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 106, Row: 18, Price: $81, Est. Price: $117.45, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9129223137
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 111, Row: 18, Price: $81, Est. Price: $117.45, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9119926406
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 110, Row: 18, Price: $81, Est. Price: $117.45, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9124620128
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 106, Row: 6, Price: $85, Est. Price: $123.25, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9130192182
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 109, Row: 17, Price: $86, Est. Price: $124.7, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9129251116
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 110, Row: 18, Price: $87, Est. Price: $126.14999999999999, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9126655102
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 111, Row: 16, Price: $88, Est. Price: $127.6, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9130269518
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 105, Row: 11, Price: $89, Est. Price: $129.04999999999998, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9098790514
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 111, Row: 11, Price: $102, Est. Price: $147.9, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=8335445913
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 110, Row: 17, Price: $102, Est. Price: $147.9, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9105108694
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 112, Row: 14, Price: $104, Est. Price: $150.79999999999998, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9129222745
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 112, Row: 9, Price: $105, Est. Price: $152.25, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9114702654
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 111, Row: 9, Price: $105, Est. Price: $152.25, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9129780074
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 104, Row: 17, Price: $106, Est. Price: $153.7, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9122075512
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 104, Row: 15, Price: $107, Est. Price: $155.15, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9127279691
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 106, Row: 10, Price: $107, Est. Price: $155.15, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9076751540
