Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 420, Row: 21, Price: $62, Est. Price: $89.89999999999999, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8719616494
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 421, Row: 7, Price: $64, Est. Price: $92.8, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=9126387875
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 448, Row: 22, Price: $68, Est. Price: $98.6, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8748446477
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 412, Row: 10, Price: $68, Est. Price: $98.6, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=9124783460
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 440, Row: 15, Price: $69, Est. Price: $100.05, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8816501784
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 441, Row: 11, Price: $69, Est. Price: $100.05, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=9121619439
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 436, Row: 20, Price: $71, Est. Price: $102.95, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8728839155
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 411, Row: 8, Price: $71, Est. Price: $102.95, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=9124209484
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 435, Row: 20, Price: $71, Est. Price: $102.95, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=9105475812
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 438, Row: 16, Price: $71, Est. Price: $102.95, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8901380959
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 419, Row: 22, Price: $72, Est. Price: $104.39999999999999, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=9125836428
