Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 206, Row: 14, Price: $34, Est. Price: $54.400000000000006, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9125920011
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 216, Row: 11, Price: $35, Est. Price: $56, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9074182566
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 206, Row: 10, Price: $36, Est. Price: $57.6, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=8693102284
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 207, Row: 6, Price: $37, Est. Price: $59.2, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9130448767
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 221, Row: 14, Price: $39, Est. Price: $62.400000000000006, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9043997747
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 219, Row: 14, Price: $40, Est. Price: $64, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9125920013
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 221, Row: 13, Price: $41, Est. Price: $65.60000000000001, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9121833612
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 221, Row: 12, Price: $42, Est. Price: $67.2, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=8693102277
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 205, Row: 12, Price: $42, Est. Price: $67.2, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=8703992784
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 218, Row: 11, Price: $44, Est. Price: $70.4, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=8634378842
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 201, Row: 12, Price: $44, Est. Price: $70.4, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=8888548704
