Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 231, Row: 14, Price: $48, Est. Price: $76.80000000000001, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9050876200
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 223, Row: 14, Price: $51, Est. Price: $81.60000000000001, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9016256444
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 222, Row: 14, Price: $54, Est. Price: $86.4, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9115020506
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 232, Row: 12, Price: $56, Est. Price: $89.60000000000001, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9016145538
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 221, Row: 14, Price: $58, Est. Price: $92.80000000000001, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9042168594
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 217, Row: 14, Price: $58, Est. Price: $92.80000000000001, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9001188053
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 217, Row: 14, Price: $58, Est. Price: $92.80000000000001, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9001188061
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 228, Row: 14, Price: $58, Est. Price: $92.80000000000001, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9120729728
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 201, Row: 11, Price: $58, Est. Price: $92.80000000000001, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9002757171
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 229, Row: 10, Price: $58, Est. Price: $92.80000000000001, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9066761102
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 213, Row: 11, Price: $59, Est. Price: $94.4, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9046761322
