Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 214, Row: 12, Price: $52, Est. Price: $83.2, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=9126593456
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 221, Row: 11, Price: $53, Est. Price: $84.80000000000001, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8835865303
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 208, Row: 12, Price: $54, Est. Price: $86.4, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8998028931
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 223, Row: 11, Price: $55, Est. Price: $88, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8842278683
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 223, Row: 13, Price: $55, Est. Price: $88, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8897117983
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 231, Row: 4, Price: $55, Est. Price: $88, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8996155987
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 207, Row: 12, Price: $55, Est. Price: $88, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8998028874
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 215, Row: 8, Price: $57, Est. Price: $91.2, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8842074354
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 210, Row: 11, Price: $57, Est. Price: $91.2, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8998010585
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 202, Row: 14, Price: $58, Est. Price: $92.80000000000001, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8841984814
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 212, Row: 7, Price: $58, Est. Price: $92.80000000000001, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8837031565
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 213, Row: 10, Price: $58, Est. Price: $92.80000000000001, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8837031539
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 216, Row: 7, Price: $58, Est. Price: $92.80000000000001, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8842086260
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 218, Row: 7, Price: $58, Est. Price: $92.80000000000001, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8974807847
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 214, Row: 8, Price: $58, Est. Price: $92.80000000000001, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8837031542
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 214, Row: 10, Price: $58, Est. Price: $92.80000000000001, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8837031528
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 220, Row: 8, Price: $58, Est. Price: $92.80000000000001, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8837067253
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 214, Row: 11, Price: $58, Est. Price: $92.80000000000001, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8998010639
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 209, Row: 12, Price: $59, Est. Price: $94.4, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8884002804
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 201, Row: 14, Price: $59, Est. Price: $94.4, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8897117982
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 223, Row: 12, Price: $60, Est. Price: $96, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8843622590
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 214, Row: 11, Price: $60, Est. Price: $96, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8998010584
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 212, Row: 7, Price: $61, Est. Price: $88.45, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8842765409
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 219, Row: 8, Price: $61, Est. Price: $88.45, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=9107357225
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 210, Row: 11, Price: $61, Est. Price: $88.45, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8998010628
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 210, Row: 9, Price: $62, Est. Price: $89.89999999999999, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8848367073
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 220, Row: 7, Price: $63, Est. Price: $91.35, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=9078052780
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 207, Row: 11, Price: $63, Est. Price: $91.35, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=9025802156
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 218, Row: 12, Price: $63, Est. Price: $91.35, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8998028869
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 204, Row: 11, Price: $63, Est. Price: $91.35, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=9080369818
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 202, Row: 10, Price: $63, Est. Price: $91.35, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8835291217
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 220, Row: 10, Price: $64, Est. Price: $92.8, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8998010705
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 214, Row: 11, Price: $64, Est. Price: $92.8, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=9056684740
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 201, Row: 11, Price: $65, Est. Price: $94.25, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8848930857
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 204, Row: 11, Price: $66, Est. Price: $95.7, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8998028878
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 210, Row: 11, Price: $66, Est. Price: $95.7, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=9070655984
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 222, Row: 14, Price: $66, Est. Price: $95.7, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8841988276
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 220, Row: 10, Price: $66, Est. Price: $95.7, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8998010638
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 201, Row: 7, Price: $67, Est. Price: $97.14999999999999, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8848310809
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 215, Row: 11, Price: $67, Est. Price: $97.14999999999999, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=9079511072
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 220, Row: 9, Price: $68, Est. Price: $98.6, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8998010644
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 208, Row: 14, Price: $68, Est. Price: $98.6, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8998028871
