Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 124, Row: 26, Price: $279.00, Est. Price: $279.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-opening-day-tickets/3-27-2025-phoenix-az-chase-field/events/66a15ebd81e1bdde81adde3e/listings/67896c905f5eedb9b51d94bc?queryId=81115b61090389614900ab585115826b&resultPosition=1&searchIndex=performers
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 301, Row: 16, Price: $141.00, Est. Price: $141.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-opening-day-tickets/3-27-2025-phoenix-az-chase-field/events/66a15ebd81e1bdde81adde3e/listings/6799395726a9cb75c522e023?queryId=81115b61090389614900ab585115826b&resultPosition=1&searchIndex=performers
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 313, Row: 20, Price: $143.00, Est. Price: $143.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-opening-day-tickets/3-27-2025-phoenix-az-chase-field/events/66a15ebd81e1bdde81adde3e/listings/6799394b26a9cb75c521d8b8?queryId=81115b61090389614900ab585115826b&resultPosition=1&searchIndex=performers
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 137, Row: 37, Price: $155.00, Est. Price: $155.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-opening-day-tickets/3-27-2025-phoenix-az-chase-field/events/66a15ebd81e1bdde81adde3e/listings/679d597ff6af5e52e45542b3?queryId=81115b61090389614900ab585115826b&resultPosition=1&searchIndex=performers
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 102, Row: 33, Price: $163.00, Est. Price: $163.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-opening-day-tickets/3-27-2025-phoenix-az-chase-field/events/66a15ebd81e1bdde81adde3e/listings/6799389526a9cb75c5122c05?queryId=81115b61090389614900ab585115826b&resultPosition=1&searchIndex=performers
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 130, Row: 24, Price: $215.00, Est. Price: $215.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-opening-day-tickets/3-27-2025-phoenix-az-chase-field/events/66a15ebd81e1bdde81adde3e/listings/678052935f5eedb9b598b341?queryId=81115b61090389614900ab585115826b&resultPosition=1&searchIndex=performers
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 300, Row: 19, Price: $131.00, Est. Price: $131.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-opening-day-tickets/3-27-2025-phoenix-az-chase-field/events/66a15ebd81e1bdde81adde3e/listings/6799393f26a9cb75c521260d?queryId=81115b61090389614900ab585115826b&resultPosition=1&searchIndex=performers
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 303, Row: 18, Price: $132.00, Est. Price: $132.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-opening-day-tickets/3-27-2025-phoenix-az-chase-field/events/66a15ebd81e1bdde81adde3e/listings/6799388026a9cb75c50fa368?queryId=81115b61090389614900ab585115826b&resultPosition=1&searchIndex=performers
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 305, Row: 17, Price: $135.00, Est. Price: $135.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-opening-day-tickets/3-27-2025-phoenix-az-chase-field/events/66a15ebd81e1bdde81adde3e/listings/679bd56af6af5e52e42394b4?queryId=81115b61090389614900ab585115826b&resultPosition=1&searchIndex=performers
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 307, Row: 16, Price: $136.00, Est. Price: $136.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-opening-day-tickets/3-27-2025-phoenix-az-chase-field/events/66a15ebd81e1bdde81adde3e/listings/6799388426a9cb75c5102a41?queryId=81115b61090389614900ab585115826b&resultPosition=1&searchIndex=performers
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 302, Row: 16, Price: $137.00, Est. Price: $137.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-opening-day-tickets/3-27-2025-phoenix-az-chase-field/events/66a15ebd81e1bdde81adde3e/listings/6799387e26a9cb75c50f7242?queryId=81115b61090389614900ab585115826b&resultPosition=1&searchIndex=performers
