Date: 03-28-2025, Home Team: Dbacks, Away Team: Cubs, Section: 219, Row: 7, Price: $95.00, Est. Price: $95.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-28-2025-phoenix-az-chase-field/events/66a15ec291de0ede8cc2a062/listings/67c0fc33dec8018c76703edb?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-28-2025, Home Team: Dbacks, Away Team: Cubs, Section: 330, Row: 2, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-28-2025-phoenix-az-chase-field/events/66a15ec291de0ede8cc2a062/listings/67896c8f5f5eedb9b51d895a?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-28-2025, Home Team: Dbacks, Away Team: Cubs, Section: 311, Row: 20, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-28-2025-phoenix-az-chase-field/events/66a15ec291de0ede8cc2a062/listings/679e79e6f6af5e52e46b8cf8?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-28-2025, Home Team: Dbacks, Away Team: Cubs, Section: 319, Row: 13, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-28-2025-phoenix-az-chase-field/events/66a15ec291de0ede8cc2a062/listings/67c3ca64dec8018c76ace31a?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-28-2025, Home Team: Dbacks, Away Team: Cubs, Section: 143, Row: 21, Price: $72.00, Est. Price: $72.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-28-2025-phoenix-az-chase-field/events/66a15ec291de0ede8cc2a062/listings/67bed9b02f94efc810e8fcf2?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-28-2025, Home Team: Dbacks, Away Team: Cubs, Section: 221, Row: 5, Price: $98.00, Est. Price: $98.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-28-2025-phoenix-az-chase-field/events/66a15ec291de0ede8cc2a062/listings/67bed9af2f94efc810e8dfe1?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-28-2025, Home Team: Dbacks, Away Team: Cubs, Section: 329, Row: 16, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-28-2025-phoenix-az-chase-field/events/66a15ec291de0ede8cc2a062/listings/67ad67a93e2207e70bf6f298?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-28-2025, Home Team: Dbacks, Away Team: Cubs, Section: 328, Row: 16, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-28-2025-phoenix-az-chase-field/events/66a15ec291de0ede8cc2a062/listings/67a0d25cf6af5e52e43163f7?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-28-2025, Home Team: Dbacks, Away Team: Cubs, Section: 303, Row: 18, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-28-2025-phoenix-az-chase-field/events/66a15ec291de0ede8cc2a062/listings/679bdd0ff6af5e52e4fa30a0?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-28-2025, Home Team: Dbacks, Away Team: Cubs, Section: 302, Row: 14, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-28-2025-phoenix-az-chase-field/events/66a15ec291de0ede8cc2a062/listings/679bdc23f6af5e52e4db1a3c?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-28-2025, Home Team: Dbacks, Away Team: Cubs, Section: 308, Row: 16, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-28-2025-phoenix-az-chase-field/events/66a15ec291de0ede8cc2a062/listings/679bdc13f6af5e52e4d9a295?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-28-2025, Home Team: Dbacks, Away Team: Cubs, Section: 301, Row: 3, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-28-2025-phoenix-az-chase-field/events/66a15ec291de0ede8cc2a062/listings/67bfdad02f94efc810ce1744?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-28-2025, Home Team: Dbacks, Away Team: Cubs, Section: 331, Row: 4, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-28-2025-phoenix-az-chase-field/events/66a15ec291de0ede8cc2a062/listings/67bf95222f94efc810b958c5?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-28-2025, Home Team: Dbacks, Away Team: Cubs, Section: 309, Row: 16, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-28-2025-phoenix-az-chase-field/events/66a15ec291de0ede8cc2a062/listings/67bf8a662f94efc810a077ca?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-28-2025, Home Team: Dbacks, Away Team: Cubs, Section: 330, Row: 33, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-28-2025-phoenix-az-chase-field/events/66a15ec291de0ede8cc2a062/listings/67bf30732f94efc8109670c4?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-28-2025, Home Team: Dbacks, Away Team: Cubs, Section: 300, Row: 32, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-28-2025-phoenix-az-chase-field/events/66a15ec291de0ede8cc2a062/listings/67bf30702f94efc81096331f?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-28-2025, Home Team: Dbacks, Away Team: Cubs, Section: 302, Row: 5, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-28-2025-phoenix-az-chase-field/events/66a15ec291de0ede8cc2a062/listings/67bf87152f94efc8104c97b7?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-28-2025, Home Team: Dbacks, Away Team: Cubs, Section: 302, Row: 33, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-28-2025-phoenix-az-chase-field/events/66a15ec291de0ede8cc2a062/listings/67c38278dec8018c76dbb848?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-28-2025, Home Team: Dbacks, Away Team: Cubs, Section: 329, Row: 10, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-28-2025-phoenix-az-chase-field/events/66a15ec291de0ede8cc2a062/listings/67bfc01c2f94efc810e9d50c?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-28-2025, Home Team: Dbacks, Away Team: Cubs, Section: 328, Row: 10, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-28-2025-phoenix-az-chase-field/events/66a15ec291de0ede8cc2a062/listings/67bed9992f94efc810e6be76?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-28-2025, Home Team: Dbacks, Away Team: Cubs, Section: 328, Row: 40, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-28-2025-phoenix-az-chase-field/events/66a15ec291de0ede8cc2a062/listings/67bf30742f94efc810968ee2?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-28-2025, Home Team: Dbacks, Away Team: Cubs, Section: 303, Row: 8, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-28-2025-phoenix-az-chase-field/events/66a15ec291de0ede8cc2a062/listings/67bed99c2f94efc810e722e7?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-28-2025, Home Team: Dbacks, Away Team: Cubs, Section: 304, Row: 9, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-28-2025-phoenix-az-chase-field/events/66a15ec291de0ede8cc2a062/listings/67bed9bd2f94efc810ea016c?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-28-2025, Home Team: Dbacks, Away Team: Cubs, Section: 304, Row: 40, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-28-2025-phoenix-az-chase-field/events/66a15ec291de0ede8cc2a062/listings/67bf30782f94efc81097080d?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-28-2025, Home Team: Dbacks, Away Team: Cubs, Section: 303, Row: 40, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-28-2025-phoenix-az-chase-field/events/66a15ec291de0ede8cc2a062/listings/67bf30832f94efc8109843c5?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-28-2025, Home Team: Dbacks, Away Team: Cubs, Section: 329, Row: 40, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-28-2025-phoenix-az-chase-field/events/66a15ec291de0ede8cc2a062/listings/67bf30702f94efc8109632f6?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-28-2025, Home Team: Dbacks, Away Team: Cubs, Section: 301, Row: 32, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-28-2025-phoenix-az-chase-field/events/66a15ec291de0ede8cc2a062/listings/67bf307c2f94efc810977221?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-28-2025, Home Team: Dbacks, Away Team: Cubs, Section: 331, Row: 32, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-28-2025-phoenix-az-chase-field/events/66a15ec291de0ede8cc2a062/listings/67bf30822f94efc81098064b?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-28-2025, Home Team: Dbacks, Away Team: Cubs, Section: 330, Row: 12, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-28-2025-phoenix-az-chase-field/events/66a15ec291de0ede8cc2a062/listings/67a38d35f6af5e52e4dadbf1?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-28-2025, Home Team: Dbacks, Away Team: Cubs, Section: 313, Row: 18, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-28-2025-phoenix-az-chase-field/events/66a15ec291de0ede8cc2a062/listings/679bdc18f6af5e52e4da2498?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
