Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 129, Row: 31, Price: $112.00, Est. Price: $112.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-30-2025-phoenix-az-chase-field/events/66a15ed7b0cc2cb65c53b16c/listings/67c2be45dec8018c76f4580a?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 301, Row: 32, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-30-2025-phoenix-az-chase-field/events/66a15ed7b0cc2cb65c53b16c/listings/67bf40f62f94efc8101456f9?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 319, Row: 12, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-30-2025-phoenix-az-chase-field/events/66a15ed7b0cc2cb65c53b16c/listings/67c3be8adec8018c765edf76?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 315, Row: 15, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-30-2025-phoenix-az-chase-field/events/66a15ed7b0cc2cb65c53b16c/listings/67c2be5adec8018c76f6f409?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 143, Row: 22, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-30-2025-phoenix-az-chase-field/events/66a15ed7b0cc2cb65c53b16c/listings/67c3be9edec8018c76605025?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 221, Row: 6, Price: $86.00, Est. Price: $86.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-30-2025-phoenix-az-chase-field/events/66a15ed7b0cc2cb65c53b16c/listings/67c2be5cdec8018c76f72a12?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 304, Row: 12, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-30-2025-phoenix-az-chase-field/events/66a15ed7b0cc2cb65c53b16c/listings/67bf8deb2f94efc81004b706?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 330, Row: 33, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-30-2025-phoenix-az-chase-field/events/66a15ed7b0cc2cb65c53b16c/listings/67bf40ff2f94efc81014e2c3?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 300, Row: 32, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-30-2025-phoenix-az-chase-field/events/66a15ed7b0cc2cb65c53b16c/listings/67bf40f72f94efc8101466ce?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 332, Row: 32, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-30-2025-phoenix-az-chase-field/events/66a15ed7b0cc2cb65c53b16c/listings/67bf40ea2f94efc810130eb4?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 302, Row: 33, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-30-2025-phoenix-az-chase-field/events/66a15ed7b0cc2cb65c53b16c/listings/67bf40f52f94efc8101442da?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
