Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 303, Row: 21, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8865888999
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 301, Row: 18, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8840465689
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 328, Row: 19, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8840108426
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 329, Row: 17, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8840540913
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 331, Row: 10, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8852038652
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 330, Row: 15, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8840134256
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 331, Row: 13, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8828260215
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 305, Row: 16, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8874084871
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 309, Row: 20, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8865881291
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 308, Row: 18, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8840454597
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 306, Row: 21, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8840014114
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 323, Row: 23, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8869224558
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 324, Row: 19, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8840446496
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 325, Row: 19, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8848552983
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 326, Row: 18, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8848553265
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 327, Row: 17, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8840115368
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 308, Row: 16, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8874084780
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 312, Row: 20, Price: $45, Est. Price: $72.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8858813025
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 301, Row: 15, Price: $45, Est. Price: $72.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8867912630
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 313, Row: 19, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8858813084
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 310, Row: 21, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8840512689
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 311, Row: 22, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8840086059
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 320, Row: 18, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8839997837
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 313, Row: 22, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8839997930
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 321, Row: 18, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8865889318
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 314, Row: 22, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8860834423
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 319, Row: 20, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8839976413
