Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 205, Row: 12, Price: $68, Est. Price: $98.6, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8874538832
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 205, Row: 13, Price: $68, Est. Price: $98.6, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867326551
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 205, Row: 14, Price: $68, Est. Price: $98.6, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867326570
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 217, Row: 11, Price: $68, Est. Price: $98.6, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867328026
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 217, Row: 12, Price: $68, Est. Price: $98.6, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8872231325
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 217, Row: 13, Price: $68, Est. Price: $98.6, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867328055
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 217, Row: 14, Price: $68, Est. Price: $98.6, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867328176
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 216, Row: 11, Price: $68, Est. Price: $98.6, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867326183
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 206, Row: 11, Price: $68, Est. Price: $98.6, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867328829
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 206, Row: 12, Price: $68, Est. Price: $98.6, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867328852
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 207, Row: 11, Price: $68, Est. Price: $98.6, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8865858877
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 206, Row: 13, Price: $68, Est. Price: $98.6, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867328988
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 207, Row: 12, Price: $68, Est. Price: $98.6, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8865858906
