Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 120, Row: 2, Price: $320.00, Est. Price: $320.00, URL: https://gametime.co/nba-basketball/cavaliers-at-suns-tickets/3-21-2025-phoenix-az-footprint-center/events/66be5eab1a9b6440ea269c67/listings/6769908ab98988f2db35422e?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=51cc3efe9afd148a730b55e7aca5abcd&resultPosition=1&searchIndex=performers&searchSessionId=98c227da-7dbe-4c76-961f-bcbd9a7d42c8
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 230, Row: 3, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/nba-basketball/cavaliers-at-suns-tickets/3-21-2025-phoenix-az-footprint-center/events/66be5eab1a9b6440ea269c67/listings/677ff0e95f5eedb9b5f34580?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=51cc3efe9afd148a730b55e7aca5abcd&resultPosition=1&searchIndex=performers&searchSessionId=98c227da-7dbe-4c76-961f-bcbd9a7d42c8
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 223, Row: 6, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/nba-basketball/cavaliers-at-suns-tickets/3-21-2025-phoenix-az-footprint-center/events/66be5eab1a9b6440ea269c67/listings/6733aa01585e58e5aa4cedbe?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=51cc3efe9afd148a730b55e7aca5abcd&resultPosition=1&searchIndex=performers&searchSessionId=98c227da-7dbe-4c76-961f-bcbd9a7d42c8
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 107, Row: 18, Price: $170.00, Est. Price: $170.00, URL: https://gametime.co/nba-basketball/cavaliers-at-suns-tickets/3-21-2025-phoenix-az-footprint-center/events/66be5eab1a9b6440ea269c67/listings/66da0c6b34454e89f910d429?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=51cc3efe9afd148a730b55e7aca5abcd&resultPosition=1&searchIndex=performers&searchSessionId=98c227da-7dbe-4c76-961f-bcbd9a7d42c8
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 121, Row: 19, Price: $192.00, Est. Price: $192.00, URL: https://gametime.co/nba-basketball/cavaliers-at-suns-tickets/3-21-2025-phoenix-az-footprint-center/events/66be5eab1a9b6440ea269c67/listings/66beddc404f4add891a4958e?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=51cc3efe9afd148a730b55e7aca5abcd&resultPosition=1&searchIndex=performers&searchSessionId=98c227da-7dbe-4c76-961f-bcbd9a7d42c8
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 114, Row: 27, Price: $257.00, Est. Price: $257.00, URL: https://gametime.co/nba-basketball/cavaliers-at-suns-tickets/3-21-2025-phoenix-az-footprint-center/events/66be5eab1a9b6440ea269c67/listings/66e0d5b034454e89f9607e6d?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=51cc3efe9afd148a730b55e7aca5abcd&resultPosition=1&searchIndex=performers&searchSessionId=98c227da-7dbe-4c76-961f-bcbd9a7d42c8
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 210, Row: 10, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/nba-basketball/cavaliers-at-suns-tickets/3-21-2025-phoenix-az-footprint-center/events/66be5eab1a9b6440ea269c67/listings/66c2569004f4add891f80d91?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=51cc3efe9afd148a730b55e7aca5abcd&resultPosition=1&searchIndex=performers&searchSessionId=98c227da-7dbe-4c76-961f-bcbd9a7d42c8
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 227, Row: 7, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/nba-basketball/cavaliers-at-suns-tickets/3-21-2025-phoenix-az-footprint-center/events/66be5eab1a9b6440ea269c67/listings/66e0d5b034454e89f9607e9e?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=51cc3efe9afd148a730b55e7aca5abcd&resultPosition=1&searchIndex=performers&searchSessionId=98c227da-7dbe-4c76-961f-bcbd9a7d42c8
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 212, Row: 9, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/nba-basketball/cavaliers-at-suns-tickets/3-21-2025-phoenix-az-footprint-center/events/66be5eab1a9b6440ea269c67/listings/674d31d4585e58e5aa3fabe9?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=51cc3efe9afd148a730b55e7aca5abcd&resultPosition=1&searchIndex=performers&searchSessionId=98c227da-7dbe-4c76-961f-bcbd9a7d42c8
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 211, Row: 10, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/nba-basketball/cavaliers-at-suns-tickets/3-21-2025-phoenix-az-footprint-center/events/66be5eab1a9b6440ea269c67/listings/66c2569004f4add891f81497?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=51cc3efe9afd148a730b55e7aca5abcd&resultPosition=1&searchIndex=performers&searchSessionId=98c227da-7dbe-4c76-961f-bcbd9a7d42c8
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 228, Row: 12, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/nba-basketball/cavaliers-at-suns-tickets/3-21-2025-phoenix-az-footprint-center/events/66be5eab1a9b6440ea269c67/listings/6733aa01585e58e5aa4ced49?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=51cc3efe9afd148a730b55e7aca5abcd&resultPosition=1&searchIndex=performers&searchSessionId=98c227da-7dbe-4c76-961f-bcbd9a7d42c8
