Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 222, Row: 13, Price: $9, Est. Price: $16.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8455988496
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 223, Row: 12, Price: $9, Est. Price: $16.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7842831612
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 224, Row: 9, Price: $9, Est. Price: $16.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7842831646
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 230, Row: 3, Price: $9, Est. Price: $16.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8550737493
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 215, Row: 13, Price: $9, Est. Price: $16.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7842822713
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 210, Row: 7, Price: $9, Est. Price: $16.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8410978039
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 213, Row: 9, Price: $9, Est. Price: $16.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7842822694
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 230, Row: 8, Price: $9, Est. Price: $16.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8455988473
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 230, Row: 9, Price: $9, Est. Price: $16.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7842822698
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 213, Row: 6, Price: $9, Est. Price: $16.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8410978030
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 209, Row: 8, Price: $9, Est. Price: $16.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7842831675
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 224, Row: 14, Price: $9, Est. Price: $16.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8455988477
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 230, Row: 14, Price: $9, Est. Price: $16.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8455988488
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 211, Row: 11, Price: $9, Est. Price: $16.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7842822710
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 215, Row: 11, Price: $10, Est. Price: $18.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8244526962
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 212, Row: 9, Price: $10, Est. Price: $18.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8367067443
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 224, Row: 7, Price: $10, Est. Price: $18.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7803598725
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 226, Row: 8, Price: $10, Est. Price: $18.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8455988470
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 228, Row: 6, Price: $10, Est. Price: $18.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8410978025
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 231, Row: 10, Price: $10, Est. Price: $18.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8455988502
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 227, Row: 10, Price: $10, Est. Price: $18.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8455988467
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 228, Row: 10, Price: $10, Est. Price: $18.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8244526959
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 211, Row: 8, Price: $10, Est. Price: $18.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8455988464
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 231, Row: 14, Price: $10, Est. Price: $18.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8455988515
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 223, Row: 5, Price: $11, Est. Price: $19.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8244527008
