Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 228, Row: 4, Price: $13, Est. Price: $23.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8551986617
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 230, Row: 14, Price: $14, Est. Price: $25.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8639554493
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 213, Row: 12, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8456061297
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 224, Row: 14, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8456061181
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 222, Row: 13, Price: $17, Est. Price: $30.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8456061292
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 212, Row: 10, Price: $17, Est. Price: $30.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8605023355
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 226, Row: 10, Price: $17, Est. Price: $30.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8464434937
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 213, Row: 8, Price: $17, Est. Price: $30.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8642742469
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 226, Row: 8, Price: $17, Est. Price: $30.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8456061270
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 231, Row: 14, Price: $17, Est. Price: $30.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8456061375
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 211, Row: 12, Price: $17, Est. Price: $30.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8456061178
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 226, Row: 11, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=7810537440
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 206, Row: 12, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8443603513
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 226, Row: 12, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=7810536748
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 211, Row: 11, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=7842841793
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 223, Row: 8, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8443603512
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 215, Row: 7, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8642453646
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 232, Row: 12, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8590053305
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 228, Row: 11, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=7842845799
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 228, Row: 12, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8624466704
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 230, Row: 8, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8456061260
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 211, Row: 10, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8582747742
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 212, Row: 6, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8617906836
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 224, Row: 10, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=7810548426
