Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 226, Row: 6, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8702982825
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 228, Row: 9, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8484825982
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 213, Row: 12, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8484825948
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 212, Row: 9, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8367098359
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 230, Row: 14, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8702469196
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 229, Row: 7, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8639554491
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 211, Row: 10, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8582749506
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 231, Row: 14, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8484826118
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 212, Row: 10, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8700921194
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 231, Row: 10, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8367098361
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 228, Row: 11, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7843469362
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 211, Row: 11, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8276022636
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 231, Row: 8, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7843469456
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 224, Row: 9, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7843469171
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 230, Row: 9, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7843173617
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 215, Row: 8, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7843469382
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 213, Row: 9, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7843469190
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 227, Row: 7, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8422686723
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 210, Row: 7, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8422687019
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 227, Row: 8, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8454508912
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 228, Row: 3, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8454508714
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 226, Row: 12, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8677941811
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 228, Row: 12, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8691704084
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 226, Row: 14, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8648646484
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 229, Row: 14, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8595687104
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 211, Row: 12, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7801925538
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 211, Row: 14, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8706151776
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 209, Row: 12, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7801925492
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 210, Row: 12, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7801925522
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 212, Row: 13, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8595691602
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 230, Row: 4, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8063011547
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 230, Row: 8, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7814374608
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 231, Row: 9, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8063011403
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 201, Row: 5, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8550774943
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 230, Row: 3, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8550774935
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 230, Row: 7, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8442895893
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 213, Row: 7, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8547114914
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 210, Row: 10, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7804326243
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 210, Row: 2, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8289924312
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 232, Row: 12, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8656100310
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 232, Row: 13, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8706122976
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 222, Row: 13, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7801925611
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 231, Row: 12, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8677954056
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 224, Row: 12, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7801925557
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 230, Row: 10, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7801925583
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 206, Row: 13, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8593802453
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 206, Row: 14, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7801925549
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 216, Row: 14, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7801925552
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 215, Row: 12, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7801925617
