Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 217, Row: 9, Price: $10, Est. Price: $18.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8636530356
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 221, Row: 14, Price: $10, Est. Price: $18.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8624510439
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 224, Row: 6, Price: $10, Est. Price: $18.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=7843541965
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 222, Row: 14, Price: $10, Est. Price: $18.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8244659176
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 231, Row: 9, Price: $10, Est. Price: $18.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8063011405
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 210, Row: 5, Price: $10, Est. Price: $18.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8244659217
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 210, Row: 10, Price: $10, Est. Price: $18.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8624491876
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 202, Row: 11, Price: $11, Est. Price: $19.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8636530355
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 220, Row: 14, Price: $11, Est. Price: $19.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8707799204
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 215, Row: 5, Price: $11, Est. Price: $19.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8454509282
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 215, Row: 6, Price: $11, Est. Price: $19.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8666950734
