Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 228, Row: 9, Price: $10, Est. Price: $18.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=8484917908
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 201, Row: 5, Price: $11, Est. Price: $19.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=8550796286
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 212, Row: 10, Price: $11, Est. Price: $19.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=8454509251
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 227, Row: 11, Price: $12, Est. Price: $21.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=8540382228
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 228, Row: 11, Price: $12, Est. Price: $21.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=8540382773
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 225, Row: 13, Price: $12, Est. Price: $21.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=8639554315
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 230, Row: 9, Price: $12, Est. Price: $21.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=8636681240
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 211, Row: 11, Price: $12, Est. Price: $21.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=8624543785
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 215, Row: 8, Price: $12, Est. Price: $21.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7814374570
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 227, Row: 14, Price: $13, Est. Price: $23.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=8624543786
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 224, Row: 6, Price: $13, Est. Price: $23.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7843506432
