Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 210, Row: 10, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=7810599259
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 227, Row: 7, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8484944323
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 228, Row: 4, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8551986618
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 212, Row: 9, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8367105960
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 211, Row: 10, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=7810598633
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 224, Row: 14, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8253625724
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 230, Row: 14, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8484944097
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 222, Row: 13, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8484944103
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 230, Row: 8, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8484944326
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 226, Row: 12, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=7814378841
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 210, Row: 9, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8380591600
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 226, Row: 9, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8244697417
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 224, Row: 10, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=7810556323
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 211, Row: 7, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8538710662
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 209, Row: 6, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8244697461
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 224, Row: 7, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8408579715
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 231, Row: 14, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8707832009
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 223, Row: 6, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8244697472
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 231, Row: 10, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8484944072
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 206, Row: 9, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8367105966
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 212, Row: 2, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8433321536
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 232, Row: 12, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8590054043
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 229, Row: 14, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8710272099
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 225, Row: 14, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=7805659087
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 224, Row: 5, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8484944073
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 213, Row: 9, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8282397366
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 215, Row: 13, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=7843594568
