Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 226, Row: 10, Price: $15.00, Est. Price: $21.00, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-2-2025--sports-nba-basketball/production/5160149?showDetails=VB11713206375&groupId=&qty=1
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 232, Row: 7, Price: $16.00, Est. Price: $22.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-2-2025--sports-nba-basketball/production/5160149?showDetails=VB11592647555&groupId=&qty=1
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 231, Row: 10, Price: $18.00, Est. Price: $25.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-2-2025--sports-nba-basketball/production/5160149?showDetails=VB11693013413&groupId=&qty=1
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 228, Row: 4, Price: $19.00, Est. Price: $26.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-2-2025--sports-nba-basketball/production/5160149?showDetails=VB11629287594&groupId=&qty=2
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 230, Row: 14, Price: $19.00, Est. Price: $26.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-2-2025--sports-nba-basketball/production/5160149?showDetails=VB11713206546&groupId=&qty=2
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 213, Row: 8, Price: $20.00, Est. Price: $28.00, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-2-2025--sports-nba-basketball/production/5160149?showDetails=VB11717538571&groupId=&qty=2
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 230, Row: 14, Price: $20.00, Est. Price: $28.00, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-2-2025--sports-nba-basketball/production/5160149?showDetails=VB11495128505&groupId=&qty=2
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 212, Row: 10, Price: $21.00, Est. Price: $29.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-2-2025--sports-nba-basketball/production/5160149?showDetails=VB11675213007&groupId=&qty=2
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 213, Row: 12, Price: $21.00, Est. Price: $29.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-2-2025--sports-nba-basketball/production/5160149?showDetails=VB11495128482&groupId=&qty=2
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 224, Row: 14, Price: $21.00, Est. Price: $29.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-2-2025--sports-nba-basketball/production/5160149?showDetails=VB11495128499&groupId=&qty=2
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 227, Row: 10, Price: $21.00, Est. Price: $29.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-2-2025--sports-nba-basketball/production/5160149?showDetails=VB11495128483&groupId=&qty=1
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 222, Row: 13, Price: $22.00, Est. Price: $30.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-2-2025--sports-nba-basketball/production/5160149?showDetails=VB11495128563&groupId=&qty=2
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 224, Row: 14, Price: $22.00, Est. Price: $30.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-2-2025--sports-nba-basketball/production/5160149?showDetails=VB10389491763&groupId=&qty=2
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 226, Row: 9, Price: $22.00, Est. Price: $30.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-2-2025--sports-nba-basketball/production/5160149?showDetails=VB11507423269&groupId=&qty=2
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 226, Row: 2, Price: $22.00, Est. Price: $30.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-2-2025--sports-nba-basketball/production/5160149?showDetails=VB11680407716&groupId=&qty=1
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 232, Row: 14, Price: $23.00, Est. Price: $32.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-2-2025--sports-nba-basketball/production/5160149?showDetails=VB11713206324&groupId=&qty=1
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 224, Row: 14, Price: $23.00, Est. Price: $32.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-2-2025--sports-nba-basketball/production/5160149?showDetails=VB11141502511&groupId=&qty=2
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 211, Row: 12, Price: $23.00, Est. Price: $32.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-2-2025--sports-nba-basketball/production/5160149?showDetails=VB11495128480&groupId=&qty=2
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 226, Row: 11, Price: $23.00, Est. Price: $32.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-2-2025--sports-nba-basketball/production/5160149?showDetails=VB10389485108&groupId=&qty=2
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 231, Row: 14, Price: $23.00, Est. Price: $32.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-2-2025--sports-nba-basketball/production/5160149?showDetails=VB11697113569&groupId=&qty=1
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 226, Row: 8, Price: $23.00, Est. Price: $32.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-2-2025--sports-nba-basketball/production/5160149?showDetails=VB11495128484&groupId=&qty=1
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 226, Row: 9, Price: $23.00, Est. Price: $32.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-2-2025--sports-nba-basketball/production/5160149?showDetails=VB11075909218&groupId=&qty=1
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 232, Row: 12, Price: $24.00, Est. Price: $33.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-2-2025--sports-nba-basketball/production/5160149?showDetails=VB11661573919&groupId=&qty=2
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 226, Row: 12, Price: $24.00, Est. Price: $33.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-2-2025--sports-nba-basketball/production/5160149?showDetails=VB10389485036&groupId=&qty=2
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 224, Row: 7, Price: $24.00, Est. Price: $33.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-2-2025--sports-nba-basketball/production/5160149?showDetails=VB10875953502&groupId=&qty=2
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 211, Row: 7, Price: $24.00, Est. Price: $33.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-2-2025--sports-nba-basketball/production/5160149?showDetails=VB11495128562&groupId=&qty=1
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 211, Row: 6, Price: $24.00, Est. Price: $33.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-2-2025--sports-nba-basketball/production/5160149?showDetails=VB10875945759&groupId=&qty=2
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 206, Row: 12, Price: $25.00, Est. Price: $35.00, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-2-2025--sports-nba-basketball/production/5160149?showDetails=VB11478138726&groupId=&qty=1
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 224, Row: 14, Price: $25.00, Est. Price: $35.00, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-2-2025--sports-nba-basketball/production/5160149?showDetails=VB11495128489&groupId=&qty=1
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 224, Row: 14, Price: $25.00, Est. Price: $35.00, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-2-2025--sports-nba-basketball/production/5160149?showDetails=VB11404165294&groupId=&qty=2
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 211, Row: 11, Price: $25.00, Est. Price: $35.00, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-2-2025--sports-nba-basketball/production/5160149?showDetails=VB10452552542&groupId=&qty=2
