Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 227, Row: 10, Price: $18.00, Est. Price: $25.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11670071063&groupId=&qty=1
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 211, Row: 8, Price: $18.00, Est. Price: $25.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11747550200&groupId=&qty=1
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 210, Row: 6, Price: $18.00, Est. Price: $25.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11780890031&groupId=&qty=1
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 226, Row: 10, Price: $18.00, Est. Price: $25.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11713206165&groupId=&qty=1
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 228, Row: 11, Price: $20.00, Est. Price: $28.00, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11774914495&groupId=&qty=1
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 228, Row: 9, Price: $22.00, Est. Price: $30.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11536379007&groupId=&qty=1
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 226, Row: 6, Price: $22.00, Est. Price: $30.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11779393022&groupId=&qty=1
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 213, Row: 12, Price: $22.00, Est. Price: $30.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11536378706&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 212, Row: 12, Price: $22.00, Est. Price: $30.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11258663645&groupId=&qty=1
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 212, Row: 9, Price: $23.00, Est. Price: $32.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11366982865&groupId=&qty=1
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 230, Row: 14, Price: $24.00, Est. Price: $33.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11778796475&groupId=&qty=2
