Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 227, Row: 7, Price: $10.00, Est. Price: $14.00, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-17-2025--sports-nba-basketball/production/5159937?showDetails=VB11692252745&groupId=&qty=1
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 224, Row: 15, Price: $11.00, Est. Price: $15.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-17-2025--sports-nba-basketball/production/5159937?showDetails=VB11696804737&groupId=&qty=2
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 226, Row: 12, Price: $11.00, Est. Price: $15.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-17-2025--sports-nba-basketball/production/5159937?showDetails=VB11696801804&groupId=&qty=2
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 228, Row: 4, Price: $11.00, Est. Price: $15.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-17-2025--sports-nba-basketball/production/5159937?showDetails=VB11629287596&groupId=&qty=2
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 213, Row: 9, Price: $11.00, Est. Price: $15.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-17-2025--sports-nba-basketball/production/5159937?showDetails=VB11696801806&groupId=&qty=2
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 226, Row: 10, Price: $11.00, Est. Price: $15.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-17-2025--sports-nba-basketball/production/5159937?showDetails=VB11713206596&groupId=&qty=1
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 230, Row: 14, Price: $12.00, Est. Price: $16.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-17-2025--sports-nba-basketball/production/5159937?showDetails=VB11536420322&groupId=&qty=2
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 230, Row: 14, Price: $12.00, Est. Price: $16.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-17-2025--sports-nba-basketball/production/5159937?showDetails=VB11536420340&groupId=&qty=1
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 224, Row: 14, Price: $12.00, Est. Price: $16.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-17-2025--sports-nba-basketball/production/5159937?showDetails=VB11536420342&groupId=&qty=2
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 223, Row: 7, Price: $12.00, Est. Price: $16.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-17-2025--sports-nba-basketball/production/5159937?showDetails=VB11696804744&groupId=&qty=2
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 229, Row: 7, Price: $12.00, Est. Price: $16.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-17-2025--sports-nba-basketball/production/5159937?showDetails=VB11696801813&groupId=&qty=2
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 225, Row: 13, Price: $12.00, Est. Price: $16.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-17-2025--sports-nba-basketball/production/5159937?showDetails=VB11696801805&groupId=&qty=1
