Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 226, Row: 6, Price: $11.00, Est. Price: $15.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB11710560702&groupId=&qty=1
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 226, Row: 10, Price: $11.00, Est. Price: $15.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB11713206401&groupId=&qty=1
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 225, Row: 8, Price: $13.00, Est. Price: $18.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB11212160416&groupId=&qty=1
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 227, Row: 10, Price: $14.00, Est. Price: $19.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB11536432308&groupId=&qty=1
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 226, Row: 11, Price: $14.00, Est. Price: $19.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB11713205999&groupId=&qty=1
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 228, Row: 9, Price: $14.00, Est. Price: $19.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB11536432304&groupId=&qty=1
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 212, Row: 12, Price: $14.00, Est. Price: $19.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB11075903605&groupId=&qty=1
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 224, Row: 15, Price: $16.00, Est. Price: $22.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB11713205879&groupId=&qty=2
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 201, Row: 5, Price: $16.00, Est. Price: $22.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB11628258798&groupId=&qty=2
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 228, Row: 11, Price: $16.00, Est. Price: $22.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB10453498466&groupId=&qty=1
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 215, Row: 8, Price: $16.00, Est. Price: $22.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB10397859979&groupId=&qty=2
